tag,cluster_id,cluster_title,CONFIG_MPCR,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_endowment,CONFIG_numRounds,CONFIG_playerCount,CONFIG_punishmentCost,CONFIG_punishmentExists,CONFIG_punishmentMagnitude,CONFIG_rewardCost,CONFIG_rewardExists,CONFIG_rewardMagnitude,CONFIG_showNRounds,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId
RESPONSE_TO_PUNISHER,5,Responses to Punishment Without Retaliation,0.23 (11.1%),False (58.7%),True (66.7%),0 (63.5%),20 (100.0%),23 (12.7%),19 (38.1%),3 (28.6%),True (100.0%),4.0 (22.2%),3 (28.6%),False (58.7%),2.0 (30.2%),False (50.8%),True (50.8%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,6,Responses to Punishment in Cooperative Settings,0.36 (11.3%),True (77.4%),False (60.4%),1 (56.6%),20 (100.0%),14 (7.5%),12 (13.2%),3 (39.6%),True (100.0%),10.0 (15.1%),3 (39.6%),True (58.5%),2.0 (34.0%),True (54.7%),True (54.7%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,7,Resilient Cooperation in Punitive Environments,0.63 (9.7%),True (51.4%),True (63.9%),0 (59.7%),20 (100.0%),26 (13.9%),19 (23.6%),1 (29.2%),True (100.0%),4.0 (22.2%),1 (29.2%),False (51.4%),1.0 (30.6%),True (61.1%),True (54.2%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,8,Responses to Punishment: A Complex Landscape,0.36 (9.8%),True (59.0%),False (50.8%),0 (50.8%),20 (100.0%),9 (9.8%),19 (16.4%),2 (36.1%),True (100.0%),7.0 (14.8%),2 (36.1%),False (57.4%),3.0 (31.1%),True (50.8%),True (57.4%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,9,Resilient Cooperation in the Face of Punishment,0.36 (8.6%),False (54.3%),False (62.9%),0 (62.9%),20 (100.0%),27 (12.9%),19 (22.9%),3 (35.7%),True (100.0%),4.0 (18.6%),3 (35.7%),True (54.3%),2.0 (32.9%),False (54.3%),False (57.1%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,10,Non-Retaliatory Cooperation in Punitive Contexts,0.54 (17.8%),True (55.6%),False (82.2%),0 (66.7%),20 (100.0%),4 (15.6%),19 (22.2%),3 (44.4%),True (100.0%),4.0 (17.8%),3 (44.4%),True (57.8%),2.0 (40.0%),True (64.4%),False (51.1%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,11,Resilient Cooperation in Punitive Environments,0.32 (12.3%),False (56.1%),False (84.2%),0 (57.9%),20 (100.0%),9 (10.5%),19 (28.1%),3 (49.1%),True (100.0%),10.0 (15.8%),3 (49.1%),False (59.6%),2.0 (33.3%),False (50.9%),False (54.4%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,12,Resistance to Punishment in Cooperative Settings,0.14 (9.6%),True (53.8%),False (86.5%),0 (50.0%),20 (100.0%),25 (11.5%),12 (13.5%),3 (28.8%),True (100.0%),6.0 (19.2%),3 (28.8%),False (67.3%),1.0 (25.0%),False (51.9%),False (51.9%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,13,Responses to Punishment in Cooperative Settings,0.32 (11.3%),False (66.0%),False (84.9%),0 (50.9%),20 (100.0%),13 (13.2%),19 (15.1%),3 (32.1%),True (100.0%),2.0 (15.1%),3 (32.1%),False (66.0%),2.0 (28.3%),False (62.3%),False (54.7%),True (100.0%),True (100.0%)
RESPONSE_TO_PUNISHER,14,Resilient Non-Retaliators in Punishment Scenarios,0.3 (11.9%),False (59.3%),False (91.5%),0 (62.7%),20 (100.0%),8 (13.6%),13 (16.9%),3 (35.6%),True (100.0%),6.0 (18.6%),3 (35.6%),False (64.4%),2.0 (37.3%),False (54.2%),False (61.0%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,0,Understanding Unrewarded Behavior Patterns,0.43 (18.8%),False (74.1%),True (78.8%),1 (64.7%),20 (100.0%),7 (18.8%),16 (22.4%),3 (44.7%),True (78.8%),11.0 (22.4%),3 (44.7%),True (100.0%),3.0 (32.9%),True (50.6%),False (57.6%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,1,Understanding Unrewarded Player Behavior,0.12 (25.7%),False (82.9%),False (65.7%),1 (60.0%),20 (100.0%),2 (25.7%),16 (28.6%),1 (28.6%),True (54.3%),2.0 (25.7%),1 (28.6%),True (100.0%),3.0 (34.3%),False (57.1%),True (68.6%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,2,Patterns of Non-Reciprocal Reward Behavior,0.2 (14.0%),True (59.6%),True (87.7%),0 (54.4%),20 (100.0%),14 (21.1%),19 (33.3%),3 (28.1%),False (63.2%),11.0 (26.3%),3 (28.1%),True (100.0%),2.0 (29.8%),True (59.6%),True (59.6%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,3,Unresponsive Reward Recipients in Group Dynamics,0.19 (21.0%),True (59.7%),True (100.0%),0 (61.3%),20 (100.0%),6 (21.0%),17 (21.0%),2 (51.6%),False (54.8%),4.0 (22.6%),2 (51.6%),True (100.0%),2.0 (45.2%),True (53.2%),False (50.0%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,4,Patterns of Implicit Reciprocity in Rewards,0.62 (20.5%),True (76.9%),True (97.4%),0 (61.5%),20 (100.0%),14 (20.5%),19 (35.9%),2 (30.8%),True (53.8%),6.0 (20.5%),2 (30.8%),True (100.0%),2.0 (35.9%),True (51.3%),True (64.1%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,5,Lack of Reciprocity in Reward Dynamics,0.1 (11.1%),False (52.4%),False (77.8%),1 (58.7%),20 (100.0%),12 (19.0%),19 (19.0%),2 (36.5%),False (54.0%),7.0 (15.9%),2 (36.5%),True (100.0%),2.0 (34.9%),True (54.0%),True (71.4%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,6,Stable Cooperation Despite Received Rewards,0.26 (12.0%),False (50.0%),False (58.0%),0 (62.0%),20 (100.0%),27 (16.0%),19 (26.0%),2 (40.0%),True (64.0%),8.0 (26.0%),2 (40.0%),True (100.0%),2.0 (46.0%),False (50.0%),True (52.0%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,7,Dynamics of Reward and Reciprocity,0.62 (39.4%),True (81.8%),True (97.0%),0 (63.6%),20 (100.0%),24 (39.4%),19 (51.5%),4 (57.6%),False (66.7%),9.0 (39.4%),4 (57.6%),True (100.0%),2.0 (57.6%),False (60.6%),False (60.6%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,8,Unreciprocated Rewards in Cooperative Behavior,0.4 (14.1%),True (53.5%),False (84.5%),1 (50.7%),20 (100.0%),17 (16.9%),15 (14.1%),3 (45.1%),True (70.4%),7.0 (19.7%),3 (45.1%),True (100.0%),2.0 (49.3%),True (59.2%),False (57.7%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,9,Understanding Cooperative Reward Behavior,0.36 (10.0%),False (53.3%),False (70.0%),0 (56.7%),20 (100.0%),12 (13.3%),18 (16.7%),3 (41.7%),False (61.7%),7.0 (20.0%),3 (41.7%),True (100.0%),2.0 (40.0%),True (63.3%),True (60.0%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,10,Understanding Non-Reciprocal Reward Behavior,0.34 (13.0%),True (53.7%),False (87.0%),0 (61.1%),20 (100.0%),12 (16.7%),13 (16.7%),3 (40.7%),True (53.7%),7.0 (24.1%),3 (40.7%),True (100.0%),3.0 (50.0%),True (51.9%),True (57.4%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,11,Patterns of Non-Reciprocal Reward Behavior,0.1 (12.0%),False (53.3%),False (84.0%),0 (53.3%),20 (100.0%),12 (16.0%),19 (17.3%),2 (40.0%),False (68.0%),6.0 (22.7%),2 (40.0%),True (100.0%),2.0 (42.7%),False (57.3%),True (57.3%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,12,Patterns of Non-Reciprocal Reward Behavior,0.54 (17.6%),False (52.9%),False (88.2%),0 (54.9%),20 (100.0%),4 (17.6%),19 (29.4%),3 (39.2%),False (54.9%),10.0 (17.6%),3 (39.2%),True (100.0%),2.0 (37.3%),True (51.0%),False (58.8%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,13,Cooperative Players and Reward Dynamics,0.4 (21.4%),True (54.3%),False (82.9%),1 (54.3%),20 (100.0%),17 (22.9%),15 (21.4%),2 (38.6%),False (88.6%),2.0 (22.9%),2 (38.6%),True (100.0%),2.0 (37.1%),True (57.1%),False (77.1%),True (100.0%),True (100.0%)
RESPONSE_TO_REWARDER,14,Cooperative Behavior in Reward Dynamics,0.4 (17.0%),False (52.8%),False (88.7%),0 (56.6%),20 (100.0%),17 (18.9%),13 (24.5%),2 (35.8%),True (60.4%),2.0 (17.0%),2 (35.8%),True (100.0%),2.0 (52.8%),False (56.6%),False (77.4%),True (100.0%),True (100.0%)
REWARD,0,The Generous Rewarder Persona,0.4 (10.8%),True (55.4%),False (70.1%),1 (51.0%),20 (100.0%),21 (10.8%),15 (13.4%),2 (38.9%),False (82.2%),2.0 (15.3%),2 (38.9%),True (100.0%),3.0 (31.2%),False (54.1%),False (60.5%),True (58.0%),True (58.0%)
REWARD,1,Selective Rewarding Behavior in Cooperative Settings,0.54 (9.2%),True (55.5%),False (73.9%),1 (50.4%),20 (100.0%),4 (12.6%),19 (10.1%),3 (37.8%),False (79.8%),2.0 (17.6%),3 (37.8%),True (100.0%),1.0 (29.4%),False (63.0%),False (59.7%),False (55.5%),False (55.5%)
REWARD,2,Selective Rewarding in Cooperative Contexts,0.4 (11.1%),False (54.7%),False (75.2%),1 (50.4%),20 (100.0%),12 (13.7%),15 (10.3%),3 (34.2%),False (55.6%),2.0 (17.9%),3 (34.2%),True (100.0%),3.0 (29.1%),False (60.7%),True (55.6%),True (50.4%),True (50.4%)
REWARD,3,Generous Rewarders in Cooperative Settings,0.62 (10.0%),False (52.5%),True (55.8%),0 (55.8%),20 (100.0%),12 (11.7%),13 (13.3%),2 (30.8%),True (55.8%),6.0 (18.3%),2 (30.8%),True (100.0%),2.0 (30.8%),True (50.8%),False (52.5%),True (60.8%),True (60.8%)
REWARD,4,Conservative Reward Users in Gameplay,0.56 (9.6%),False (73.1%),False (86.5%),0 (75.0%),20 (100.0%),8 (17.3%),18 (17.3%),3 (36.5%),False (84.6%),11.0 (15.4%),3 (36.5%),True (100.0%),2.0 (34.6%),False (53.8%),True (63.5%),False (50.0%),False (50.0%)
REWARD,5,Non-Rewarding Cooperators in Group Dynamics,0.56 (10.6%),False (55.6%),False (86.9%),0 (51.2%),20 (100.0%),12 (15.0%),16 (17.5%),2 (33.1%),False (55.6%),2.0 (28.1%),2 (33.1%),True (100.0%),1.0 (40.6%),False (69.4%),False (53.1%),False (58.8%),False (58.8%)
REWARD,6,Selective Rewarding to Foster Cooperation,0.22 (7.4%),True (58.2%),True (66.4%),1 (55.7%),20 (100.0%),10 (8.2%),17 (14.8%),2 (33.6%),True (72.1%),7.0 (19.7%),2 (33.6%),True (100.0%),2.0 (30.3%),True (51.6%),True (63.9%),True (51.6%),True (51.6%)
REWARD,7,Reluctance to Use Reward Mechanisms,0.56 (8.6%),True (59.1%),False (67.7%),0 (58.1%),20 (100.0%),4 (12.9%),18 (14.0%),3 (39.8%),True (93.5%),4.0 (11.8%),3 (39.8%),True (100.0%),2.0 (29.0%),True (58.1%),False (57.0%),True (51.6%),True (51.6%)
REWARD,8,Sparing Use of Rewards in Cooperative Settings,0.07 (8.3%),True (52.1%),True (63.5%),0 (61.5%),20 (100.0%),14 (16.7%),18 (13.5%),3 (32.3%),True (53.1%),7.0 (19.8%),3 (32.3%),True (100.0%),2.0 (38.5%),True (51.0%),True (71.9%),True (55.2%),True (55.2%)
REWARD,9,Reluctance to Reward Cooperative Behavior,0.17 (11.3%),False (53.0%),False (60.9%),0 (65.2%),20 (100.0%),2 (13.9%),10 (13.9%),3 (41.7%),True (54.8%),6.0 (17.4%),3 (41.7%),True (100.0%),3.0 (33.0%),True (64.3%),False (67.0%),False (59.1%),False (59.1%)
REWARD,10,The Reluctant Non-Rewarder Persona,0.3 (7.0%),True (53.0%),False (58.0%),1 (51.0%),20 (100.0%),21 (11.0%),17 (12.0%),2 (37.0%),False (89.0%),6.0 (21.0%),2 (37.0%),True (100.0%),2.0 (33.0%),True (54.0%),False (56.0%),False (63.0%),False (63.0%)
REWARD,11,Avoiding Rewards in Cooperative Environments,0.25 (8.9%),False (52.7%),True (67.9%),0 (52.7%),20 (100.0%),10 (11.6%),19 (12.5%),3 (33.0%),True (96.4%),11.0 (16.1%),3 (33.0%),True (100.0%),2.0 (29.5%),True (63.4%),True (61.6%),True (56.2%),True (56.2%)
REWARD,12,Reluctance to Reward Cooperative Behavior,0.46 (6.8%),True (51.9%),True (60.5%),1 (51.9%),20 (100.0%),10 (13.0%),13 (11.1%),3 (32.1%),True (56.8%),3.0 (15.4%),3 (32.1%),True (100.0%),1.0 (29.0%),True (58.0%),True (56.2%),False (56.2%),False (56.2%)
REWARD,13,Reluctance to Reward in Cooperative Settings,0.5 (10.8%),True (51.5%),True (87.7%),0 (52.3%),20 (100.0%),10 (13.1%),14 (16.2%),2 (45.4%),False (74.6%),2.0 (14.6%),2 (45.4%),True (100.0%),1.0 (38.5%),True (52.3%),True (59.2%),True (54.6%),True (54.6%)
REWARD,14,Reluctance to Use Reward Mechanisms,0.46 (8.8%),False (55.0%),True (80.0%),1 (51.2%),20 (100.0%),2 (15.0%),16 (12.5%),2 (41.9%),True (74.4%),2.0 (16.9%),2 (41.9%),True (100.0%),1.0 (31.2%),True (56.9%),False (61.9%),True (60.0%),True (60.0%)
