StatementID,TreatmentCode,SubjectID,ID,SH,SH_JUS,AI_SH,AI_SH_JUS
217,ODU,2347,24,Y,"Because the outcomes for me choosing Y are either 5 ECU or 4 ECU, whereas if I choose X I either get 8 ECU or 1 ECU.",X,I will maximize my expected value.
218,ODU,2349,18,X,Biggest bonus for each of us.,X,Maximize expected payout.
219,ODU,2351,53,X,Highest potential of reward.,X,I choose X because the expected payout is higher.
220,ODU,2357,31,X,I think that this is the decision with the best result for both of us.,X,Maximizing expected payout.
221,ODU,2372,62,X,Both get the highest equal amount of ECU.,X,I choose X because I believe that my chances of earning more ECU are higher with this option.
222,ODU,2396,55,Y,Y no matter what the other person puts is the most likely to have a high outcome.,X,"Choosing option X gives us the best chance of getting 8 ECU. If the other person chooses Y, we'll still get 1 ECU, which is better than getting 4 ECU if we both choose Y."
223,ODU,2399,22,X,We make the most this way.,X,I maximize my expected payout by choosing X.
224,ODU,2416,56,X,I think they will choose X.,X,"The best option is X, as it provides the highest expected return regardless of the other person's choice."
225,ODU,2421,15,X,Chance of more ECU.,X,I'd rather take a chance to get 8 ECU than 4 ECU.
226,ODU,2427,30,X,"Hopefully, they will pick X, too, so we both get higher amount.",X,Choosing X results in a higher payout in all scenarios except for when the other person also chooses X.
227,ODU,2439,43,X,"Regardless of what the other person chooses, this generates the most ECU.",X,I'll maximize my expected earnings by choosing X.
228,ODU,2451,32,X,This seems the fairest option for us both with the opportunity to receive the biggest number of ECU each.,X,8 ECU for choosing X with another X. 1 ECU for choosing X and the other Y. 5 ECU for choosing Y and the other X.
229,ODU,2477,38,X,Just seeing the first result.,X,"I'd rather take the risk of earning less money (1 ECU) if the other person chooses Y, than earn 4 ECU if we both choose Y."
230,ODU,2481,59,X,"It seems the logical answer, as we would both get 8.",X,Choosing option X leads to the higher payout in 2 out of the 4 possible outcomes.
231,ODU,2489,18,X,People should work together for the best reward.,X,Maximize expected payout.
232,ODU,2490,24,X,It is more advantageous for us both to choose this option and I hope the other person does the same.,X,I will maximize my expected value.
233,ODU,2503,20,X,To see if I get the highest amount.,X,"Option X yields the highest expected payout, regardless of the other player's choice."
234,ODU,2529,13,Y,I would rather have a range of 4-5 for my reward than 1-8.,X,X is the dominant strategy as it gives the highest expected payout of 4 ECU no matter what the other person chooses
235,ODU,2540,58,Y,I don't know the other person.,X,Choosing X leads to a higher payout on average.
236,ODU,2566,25,X,We both get a good amount.,X,"Choosing option X results in either 8 ECU for both of us, or 1 ECU for me and 5 ECU for the other person. This is better than the 4 ECU we would both get if we both choose Y, and there's a chance we could both get 8 ECU."
237,ODU,2590,37,Y,Best chance at getting most each.,X,"Choosing X results in the highest expected payout, regardless of the other person's choice."
238,ODU,2623,35,X,This would be fair and the maximum return for both of us.,X,Choosing X results in a higher payout in three of the four possible scenarios.
239,ODU,2637,13,X,It pays the highest.,X,X is the dominant strategy as it gives the highest expected payout of 4 ECU no matter what the other person chooses
240,ODU,2646,59,X,"There isn't any reason to choose Y, you both win.",X,Choosing option X leads to the higher payout in 2 out of the 4 possible outcomes.
241,ODU,2658,19,X,It would be silly for either of us not to choose X.,X,"Choose X, best outcome when paired with either choice."
242,ODU,2659,22,Y,Y gives me a better chance of earning more money either £4 or £5. There is not a big difference so the risk is lower.,X,I maximize my expected payout by choosing X.
243,ODU,2682,27,X,I like the idea of going for an option which would be fair.,X,I choose X because it provides a higher expected payout than Y.
244,ODU,2684,48,X,Possibility of receiving 8 ECU.,X,"Choosing option X results in a higher payout on average compared to choosing option Y, regardless of what the other person chooses."
245,ODU,2688,57,X,Maximise the benefit for both of us.,X,"Choosing X results in higher payouts on average, regardless of the other player's choice."
246,ODU,2709,27,Y,By picking Y I would get either 4 or 5 ECU which I feel is the best outcome.,X,I choose X because it provides a higher expected payout than Y.
247,ODU,2719,59,Y,Aim is to get 4 ECUs as a minimum.,X,Choosing option X leads to the higher payout in 2 out of the 4 possible outcomes.
248,ODU,2727,2,X,We both walk away with the biggest endowment. So it was the logical option for both of us.,X,"Choosing X gives you the highest expected payoff (4 ECU) and has a higher chance of both players getting 8 ECU, which is the highest payout possible."
249,ODU,2730,55,X,This gives the biggest payout so the most likely option.,X,"Choosing option X gives us the best chance of getting 8 ECU. If the other person chooses Y, we'll still get 1 ECU, which is better than getting 4 ECU if we both choose Y."
250,ODU,2736,25,X,"Choosing Y seems worse for both sides. If opponent chooses X it reduces my score from 8 to 5, and if the opponent chooses Y it only increases my score from 4 to 5.",X,"Choosing option X results in either 8 ECU for both of us, or 1 ECU for me and 5 ECU for the other person. This is better than the 4 ECU we would both get if we both choose Y, and there's a chance we could both get 8 ECU."
251,ODU,2746,5,X,Overall if both parties choose X it will be to their mutual benefit.,X,"I'll get 8 ECU if the other person chooses X, 1 ECU if they choose Y, so X is the better choice."
252,ODU,2761,63,X,Seems sensible to both choose X.,X,I choose X because I will get more ECU in two out of the four possible combinations of choices.
253,ODU,2769,44,X,"Hopefully, this works out best.",X,I'm going for option X because the expected payout is higher.
254,ODU,2774,47,X,I think it would be silly of anyone not to take an easy option and get the most ECU shared rather then cheating someone over to get less.,X,"I choose X because it seems to be the safer option with a guaranteed payout of at least 1 ECU, regardless of the other person's choice."
255,ODU,2786,22,Y,Hopping the other chooses Y.,X,I maximize my expected payout by choosing X.
256,ODU,2802,24,X,"We would both be incentivised to pick X, as that would give us more ECU than any other option.",X,I will maximize my expected value.
257,ODU,2828,22,X,Because we can both see this leads to the biggest gain.,X,I maximize my expected payout by choosing X.
258,ODU,2830,19,Y,Answer Y is the most sensible answer as it can be more positive for both of us.,X,"Choose X, best outcome when paired with either choice."
259,ODU,2835,52,X,Hoping for max gain.,X,"Choosing option X provides the best expected outcome, regardless of the other person's choice."
260,ODU,2847,27,Y,I don't fully trust the other person to choose the most logical answer.,X,I choose X because it provides a higher expected payout than Y.
261,ODU,2850,38,X,X is the smartest choice.,X,"I'd rather take the risk of earning less money (1 ECU) if the other person chooses Y, than earn 4 ECU if we both choose Y."
262,ODU,2863,5,X,This is the highest option for both of us.,X,"I'll get 8 ECU if the other person chooses X, 1 ECU if they choose Y, so X is the better choice."
263,ODU,2876,44,Y,I either would get 4 or 5 ECU which is better than risking option X and only getting 1 ECU.,X,I'm going for option X because the expected payout is higher.
264,ODU,2878,16,X,Fair for both of us.,X,Maximizing expected payout.
265,ODU,2894,30,X,I want us both to get the maximum amount.,X,Choosing X results in a higher payout in all scenarios except for when the other person also chooses X.
266,ODU,2905,35,Y,"The outcome reduces risk for me, while ensuring a reasonably positive outcome under all scenarios.",X,Choosing X results in a higher payout in three of the four possible scenarios.
267,ODU,2938,49,Y,I think it is a good choice.,X,"Sure, choosing X results in the highest payout on average, regardless of the other person's choice."
268,ODU,2943,59,X,"This is more profitable for both sides and I hope the other person sees it, too.",X,Choosing option X leads to the higher payout in 2 out of the 4 possible outcomes.
269,ODU,2945,27,X,That is the best option for both of us.,X,I choose X because it provides a higher expected payout than Y.
270,ODU,2950,2,Y,Just seems like better odds.,X,"Choosing X gives you the highest expected payoff (4 ECU) and has a higher chance of both players getting 8 ECU, which is the highest payout possible."
271,ODU,2952,59,X,I believe that they will also choose X as it is equally the most mutually beneficial financial option.,X,Choosing option X leads to the higher payout in 2 out of the 4 possible outcomes.
272,ODU,2957,50,X,"Clearly, it is the best solution for both parties.",X,Choosing X is the better option because it gives a higher payout in more scenarios.
273,ODU,2968,63,X,So we both earn more money.,X,I choose X because I will get more ECU in two out of the four possible combinations of choices.
274,ODU,2975,32,X,Most beneficial for both parties.,X,8 ECU for choosing X with another X. 1 ECU for choosing X and the other Y. 5 ECU for choosing Y and the other X.
275,ODU,2981,45,Y,I will get more if other will choose Y.,X,"Choosing option X results in a higher payout in two of the four possible outcomes, so it seems like the safer choice."
276,ODU,2987,64,Y,It's the more safer choice to secure a decent payment.,X,I choose X because I want to maximize my earnings regardless of the other's choice. Choosing X guarantees me at least 1 ECU and has the potential to earn me 8 ECU if the other person chooses X as well.
