StatementID,TreatmentCode,SubjectID,ID,TGSender,TGSender_JUS,AI_TGSender,AI_TGSender_JUS,StatementID2,SubjectID2,ID2,TGReceiver,TGReceiver_JUS,AI_TGReceiver,AI_TGReceiver_JUS
103,ODU,1656,12,Yes,It's fair as I would get 8 and other person will get 6.,Yes,I believe in reciprocation and hope that the receiver will return some of the ECU I transferred.,103,1589,55,3,It's a fair amount for both of us.,2,Returning 2 ECU to the sender is a fair move as it balances out the total ECU each player has at the end of the game. Both the receiver and the sender end up with 5 ECU each.
104,ODU,1677,43,Yes,Initial test to see what happens between me and the other person (6 more goes to change stance and compare results).,Yes,I choose to trust the receiver to return some of the tripled amount.,104,1605,30,2,Only seems fair to send same amount.,2,It's an equal split.
105,ODU,1688,49,Yes,It seems fair.,Yes,I trust the receiver to return a fair amount.,105,1610,9,3,This way we both end up with more than we started with.,2,"I want to maintain fairness and reciprocate the sender's trust, so I choose to return half of the amount received."
106,ODU,1701,42,No,First question wish to play it safe.,Yes,"I think it's a generous move and it might encourage the receiver to return some of the amount, which would increase my final payment.",106,1622,56,0,I'm trying to maximise my earnings in this game.,2,It's a fair and equal split of the tripled amount.
107,ODU,1703,10,Yes,To make the most money.,Yes,I trust the receiver to return some ECU back to me.,107,1655,27,3,Because I feel it is fair to share the reward.,3,This maximizes my own payout while still being fair to the sender.
108,ODU,1704,13,No,"I'm not convinced the other person will return any of the ECU, and at a maximum it will only be 3, so it's not worth taking the risk.",Yes,I choose to trust the receiver to return a fair amount.,108,1656,54,2,We both get 6 ECU.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
109,ODU,1718,31,Yes,"Either way, one of us is going to make something.",Yes,It's a risk worth taking.,109,1702,32,4,I want to keep it fair between us.,2,To maximize mutual benefit and adhere to the fairness norm.
110,ODU,1719,10,No,It's not in my best interest to transfer.,Yes,I trust the receiver to return some ECU back to me.,110,1703,34,4,Even amount in the end.,3,To maximize my own payoff while being fair to the sender.
111,ODU,1728,47,Yes,It makes sense to send the full amount. It is tripled and the other person could give the ECU and we both do well. If they decide to keep it all then at least they get a good amount.,Yes,I choose to trust the receiver and hope for a positive outcome.,111,1704,44,0,"I think I'd like to keep it all for myself, seeing as there are no risk involved for me.",3,"I return 3 ECU to the sender because it seems like a fair amount to give back for the tripled transfer of 2 ECU. This way, both the receiver and the sender end up with a total of 8 ECU each."
112,ODU,1734,56,Yes,We can (potentially) maximise both of our outcomes.,Yes,I want to cooperate.,112,1719,56,0,I want as much money as possible.,2,It's a fair and equal split of the tripled amount.
113,ODU,1745,16,Yes,I think it's better to share.,Yes,It's a potentially profitable move.,113,1728,13,3,If they sent the full amount I wish to return half.,2,To maximize my own payout and to follow the strategy of reciprocating the sender's transfer.
114,ODU,1747,25,Yes,I have nothing to lose and I hope the other person is of a nice nature.,Yes,"I expect the receiver to return some of the 6 ECU, so I will benefit from the transfer.",114,1734,15,4,"Now we both have the exact same amount of ECU, which is the fairest.",3,"I am returning 3 ECU to the sender as a fair return for their transfer of 2 ECU, which was tripled to 6 ECU by the experimenter. This way, both of us can end up with equal amounts of ECU after the transfer."
115,ODU,1748,48,Yes,I am trusting that the receiver will return some ECU and we will both be better off.,Yes,I believe in the principle of reciprocity and hope that the receiver will return some of the ECU back to me.,115,1739,60,3,So we have the same amount.,2,"This is the minimum amount that can be returned, ensuring that the receiver receives the maximum amount of ECU possible."
116,ODU,1750,56,No,I don't know how fair the receiver is so this ensures max return for me - at this point...,Yes,I want to cooperate.,116,1745,6,3,I would like to keep half.,2,Maximizing personal gain.
117,ODU,1761,49,Yes,Hopeful of good return.,Yes,I trust the receiver to return a fair amount.,117,1748,39,4,Because then we will both receive 7 ECU.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
118,ODU,1762,61,Yes,It’s the least I want to do.,Yes,"I want to demonstrate trust and hope for a positive outcome, which could lead to a reciprocal act of kindness.",118,1750,46,0,I don't know how fair the receiver is so this ensures max return for me - at this point there is no feedback on anything.,3,"Returning 3 ECU is a fair compromise, as it allows both the sender and the receiver to end up with a decent amount of money, while also acknowledging the sender's initial transfer."
119,ODU,1791,24,Yes,I prefer to make my own decision and I thought keeping the original amount was a better decision instead of giving 2 ECU.,Yes,I believe in trust and mutual benefit.,119,1761,62,1,Want to keep most for me.,3,"I would return 3 ECU to the sender because it is a fair and equal split of the tripled transfer amount. This way, both the receiver and the sender end up with an equal amount of ECU."
120,ODU,1796,34,Yes,Because it makes the most sense.,Yes,It's a win-win situation.,120,1762,39,2,It’s the least.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
121,ODU,1809,27,Yes,"Hopefully, this will benefit us both.",Yes,Trust and reciprocity.,121,1809,48,3,It's a fair split.,3,"In the spirit of fairness, I return half of what was given to me."
122,ODU,1841,57,No,I believe there is a higher chance the other person will not send anything back - so I am keeping what I have.,Yes,It seems like a good opportunity to potentially earn more money.,122,1835,10,4,Willing to share reward.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
123,ODU,1844,30,Yes,I like to feel like I've done something good.,Yes,I'll trust the receiver to do the right thing.,123,1841,39,6,This maximizes profit.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
124,ODU,1854,64,Yes,I think most people would send some ECU back so we both benefit.,Yes,"It's a trust-building exercise where the receiver might return some of the ECUs, leading to a higher payout for both parties.",124,1854,2,3,This is the most even amount we could both end up with.,2,"This is a classic example of the prisoner's dilemma game, where both parties want to maximize their individual payout. If the sender sends 2 ECU, then it is tripled to 6 ECU for the receiver. If the receiver returns 2 ECU, both parties end up with the same amount of money they started with (5 ECU). Returning 2 ECU is a safe choice that guarantees both parties a fair outcome."
125,ODU,1860,50,Yes,I hope they will know they have received more and transfer same or more back.,Yes,I trust the receiver to return a fair amount.,125,1860,6,3,"Half of what I’ve earned, they then get the same.",2,Maximizing personal gain.
126,ODU,1871,57,No,I want to maximise my bonus.,Yes,It seems like a good opportunity to potentially earn more money.,126,1871,54,0,I want to maximise my bonus.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
127,ODU,1879,37,Yes,There should be empathy from the receiver so will send some back to me.,Yes,I choose to transfer 2 ECU to the receiver as it is a way to cooperate and potentially receive some ECU in return.,127,1892,30,3,Send half back to be fair to the sender.,2,It's an equal split.
128,ODU,1931,30,Yes,"Hopefully, they will be fair and send back.",Yes,I'll trust the receiver to do the right thing.,128,1909,34,3,Fairest choice for me.,3,To maximize my own payoff while being fair to the sender.
129,ODU,1949,5,No,I do not trust the recipient to send me anything back.,Yes,"I trust that the receiver will return some of the tripled amount, resulting in a higher overall payout for both of us.",129,1932,20,3,I'm trying to be fair by splitting the 6 down the middle.,2,"This decision is based on the principle of reciprocity, where one returns the same amount they received."
130,ODU,1961,12,Yes,I would like to think that when roles were reversed the same outcome would arise.,Yes,I believe in reciprocation and hope that the receiver will return some of the ECU I transferred.,130,1945,41,0,I wish to keep the total.,2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
131,ODU,1966,35,Yes,They will receive 6 and I would return half so I would receive 3 back and still be in profit.,Yes,"It's a good opportunity to potentially receive more money and the receiver may return some of the tripled amount, increasing my final payment.",131,1949,37,0,I want to be selfish.,2,I return 2 ECU to the sender because it is a fair and equal split of the tripled amount.
132,ODU,1978,34,Yes,"The receiver will get 6 ECU, I am hoping he/she will return back at least 2 ECU to remain even.",Yes,It's a win-win situation.,132,1955,24,4,"The fairest payout is a 50/50 split, which requires returning 4 and means we should end up with 7 bonus each.",0,I keep all 6 ECU.
133,ODU,1990,30,Yes,It's nice to share.,Yes,I'll trust the receiver to do the right thing.,133,1959,34,3,If they are sending 2 I'd like to make it equal 2.,3,To maximize my own payoff while being fair to the sender.
134,ODU,2011,55,Yes,"Net increase in ECU, hopefully they would do the same back.",Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,134,1961,57,2,Think it is only right they get their original gift back.,2,I'm playing it safe and trying to maintain a balance in the relationship by returning a portion of the tripled amount. This shows that I'm grateful for the transfer and also leaves me with some extra money.
135,ODU,2030,51,Yes,If I transfer 2 ECU I might have more returned to me.,Yes,I trust the receiver to return some ECU to me.,135,1971,49,3,I want this to be fair.,2,It's a fair and equal split of the total amount received.
136,ODU,2095,22,Yes,I'm hoping they're honest.,Yes,I expect a positive return.,136,1978,2,2,The sender gets back his amount he allocates and I receive (6-2) which is 4 extra ECU.,2,"This is a classic example of the prisoner's dilemma game, where both parties want to maximize their individual payout. If the sender sends 2 ECU, then it is tripled to 6 ECU for the receiver. If the receiver returns 2 ECU, both parties end up with the same amount of money they started with (5 ECU). Returning 2 ECU is a safe choice that guarantees both parties a fair outcome."
137,ODU,2101,20,Yes,It’s good to be kind.,Yes,"It's a win-win situation, either the receiver returns the amount or they don't, either way I will be making more money.",137,1990,10,3,I want to reciprocate a good gesture.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
138,ODU,2105,55,Yes,"Out of generosity, which may be repaid.",Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,138,2011,42,3,Rewards the sender for making the right choice whilst retaining a sizeable amount for a fair exchange.,3,"This decision is based on the concept of fairness and reciprocity in social exchange, where returning half of the received amount is seen as a fair and equal division of resources."
139,ODU,2112,30,Yes,Trying out what happens if I transfer the 2 ECU.,Yes,I'll trust the receiver to do the right thing.,139,2030,63,3,It seems fair to return half of it.,3,"I would return 3 ECU to the sender because it's a fair and balanced choice that benefits both parties. The sender will receive 3 ECU back, while I still get to keep 3 ECU as well."
140,ODU,2155,42,Yes,I want to be fair.,Yes,"I think it's a generous move and it might encourage the receiver to return some of the amount, which would increase my final payment.",140,2041,41,3,Simply a decision based on sharing and fairness. I feel most people are not selfish by nature.,2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
141,ODU,2163,10,Yes,I trust they will return in kind giving me potentially up to 6 ECU.,Yes,I trust the receiver to return some ECU back to me.,141,2095,7,3,I think they deserve it.,2,"This is the minimum amount that can be returned, leaving the receiver with the maximum amount of ECU."
142,ODU,2169,16,Yes,"I like to think of the 2 donated, equally 6 - the received will return at least 2, maybe more when returning the ECU.",Yes,It's a potentially profitable move.,142,2151,14,0,I have no duty to send them anything.,4,"I return 4 ECU because it's a fair compromise between keeping more for myself and returning more to the sender. This way, both of us end up with more than our original endowment, which is a win-win situation."
143,ODU,2176,2,No,I make less money by transferring it.,Yes,It could result in a larger payout in the end.,143,2153,37,4,We would both have the same.,2,I return 2 ECU to the sender because it is a fair and equal split of the tripled amount.
144,ODU,2199,38,Yes,I’d always choose to be kind and hope for the best and if I lose out then it’s not a big deal but I prefer to be kind to others.,Yes,I'm feeling generous today.,144,2169,36,3,"I want to reward the sender by 1 ECU for giving me 6 extra ECU, so we and they are better off.",2,"As the receiver, I would return 2 ECU to the sender. This decision is based on the understanding that the sender's transfer of 2 ECU is tripled to 6 ECU, which is then given to me. In this scenario, I get to keep the entire tripled amount, and returning 2 ECU to the sender seems like a fair split. This would result in a final payment of 9 ECU for me and 7 ECU for the sender."
145,ODU,2269,22,Yes,Would hopefully give me some back.,Yes,I expect a positive return.,145,2176,37,2,I think it's only fair to share it.,2,I return 2 ECU to the sender because it is a fair and equal split of the tripled amount.
146,ODU,2278,38,No,I don't want to risk it.,Yes,I'm feeling generous today.,146,2198,18,4,"By returning 4 ECU, we will both end up with 2 ECU more than we would have if the initial transfer had not been made.",2,I'm maximizing my own earnings.
147,ODU,2287,38,No,I feel I will be favoured.,Yes,I'm feeling generous today.,147,2199,16,3,50/50 is my best policy and I’ll have clear conscience by doing this.,0,I'm keeping all of the 6 ECU.
148,ODU,2306,34,Yes,"By transferring money, it will be tripled so I am hoping that the receiver will anticipate this and plan to return half of it back, thereby benefiting us both.",Yes,It's a win-win situation.,148,2239,15,2,I am assuming that the sender wouldn't have sent a high number to me.,3,"I am returning 3 ECU to the sender as a fair return for their transfer of 2 ECU, which was tripled to 6 ECU by the experimenter. This way, both of us can end up with equal amounts of ECU after the transfer."
149,ODU,2313,41,Yes,"Don't have reason not to trust the receiver will not be fair and transfer money back. Always willing to give the benefit of the doubt, as we both stand to earn more.",Yes,I choose to trust the receiver and believe they will return some of the tripled amount to me.,149,2269,49,3,Split it 50/50.,2,It's a fair and equal split of the total amount received.
150,ODU,2344,6,Yes,"I would hope the other person would be fair, too.",Yes,I am following the trust game theory that suggests cooperation leads to mutual benefit.,150,2278,14,4,We're both on an equal footing.,4,"I return 4 ECU because it's a fair compromise between keeping more for myself and returning more to the sender. This way, both of us end up with more than our original endowment, which is a win-win situation."
151,ODU,2347,59,Yes,Because there is a chance the receiver will return a portion of the tripled amount.,Yes,I choose to trust the receiver and believe they will return some of the tripled amount.,151,2283,13,2,This was the potential amount sent to me.,2,To maximize my own payout and to follow the strategy of reciprocating the sender's transfer.
152,ODU,2349,15,No,I want to maximise my bonus.,Yes,I'm a cooperative person.,152,2287,43,1,Best outcome for me.,2,It's a fair and equal split of the tripled amount.
153,ODU,2351,45,No,I do not trust receiver to send money back.,Yes,It seems like a good opportunity to potentially increase my final payment.,153,2305,15,3,It's completely fair and doesn't benefit either of us over the other.,3,"I am returning 3 ECU to the sender as a fair return for their transfer of 2 ECU, which was tripled to 6 ECU by the experimenter. This way, both of us can end up with equal amounts of ECU after the transfer."
154,ODU,2396,37,Yes,I'm still getting some ECU and with hope that the other is kind humanly so to share.,Yes,I choose to transfer 2 ECU to the receiver as it is a way to cooperate and potentially receive some ECU in return.,154,2306,41,3,If they transfer money to me then I would return half to be fair.,2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
155,ODU,2407,48,Yes,It's not too big of a risk and it's the fairest choice.,Yes,I believe in the principle of reciprocity and hope that the receiver will return some of the ECU back to me.,155,2313,41,4,"We both end up with 7, if I have done the maths correctly.",2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
156,ODU,2416,59,No,Don't believe they would send it back.,Yes,I choose to trust the receiver and believe they will return some of the tripled amount.,156,2322,31,3,I want to be equal.,0,I'm keeping all of it.
157,ODU,2427,22,Yes,"If they receive 6, hopefully, they would return at least half.",Yes,I expect a positive return.,157,2349,34,0,Trying to maximise my bonus.,3,To maximize my own payoff while being fair to the sender.
158,ODU,2431,22,Yes,In the interest of cooperation I am choosing to do this.,Yes,I expect a positive return.,158,2351,16,0,Want to maximise my gains.,0,I'm keeping all of the 6 ECU.
159,ODU,2466,27,Yes,In hope of gains.,Yes,Trust and reciprocity.,159,2357,12,2,I don't trust they would choose to transfer a lot so I want to be conservative in what I send.,2,"It's a fair move that benefits both parties, maximizing each person's earnings while also showing trust and cooperation."
160,ODU,2467,6,Yes,Will be best decision for both of us.,Yes,I am following the trust game theory that suggests cooperation leads to mutual benefit.,160,2396,62,2,I have a strong share but am still sending the other person back some ECU.,3,"I would return 3 ECU to the sender because it is a fair and equal split of the tripled transfer amount. This way, both the receiver and the sender end up with an equal amount of ECU."
161,ODU,2481,42,Yes,"As the Sender, I want to show the Receiver that I am a team player and to increase our ECU to 6.",Yes,"I think it's a generous move and it might encourage the receiver to return some of the amount, which would increase my final payment.",161,2407,25,4,There is no risk and it's extremely fair.,3,I aim to maximize my own payoff and also maintain fairness to some extent. Returning 3 ECU to the sender is a compromise between these two objectives.
162,ODU,2489,55,Yes,"Small loss to get boost to other is worth it, other side can split or return an equal amount for a net positive gain for them and neutral for self.",Yes,It seems like a good idea to transfer 2 ECU to the receiver in order to potentially increase my final payment.,162,2417,46,0,I will keep the better than 50% amount.,3,"Returning 3 ECU is a fair compromise, as it allows both the sender and the receiver to end up with a decent amount of money, while also acknowledging the sender's initial transfer."
163,ODU,2490,22,Yes,"I feel that with me transferring 2 ECU which is then tripled, there is more chance of me receiving the 2 ECU back.",Yes,I expect a positive return.,163,2425,52,3,It is a fair amount.,0,I'll keep all the money.
164,ODU,2510,52,Yes,"Give more, get more.",Yes,"I trust the receiver to return some ECU, even if it's not the full amount.",164,2427,30,2,Want more for myself.,2,It's an equal split.
165,ODU,2570,48,No,Not worth the risk.,Yes,I believe in the principle of reciprocity and hope that the receiver will return some of the ECU back to me.,165,2431,41,3,This seems like a fair exchange.,2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
166,ODU,2590,41,Yes,It will be tripled.,Yes,I choose to trust the receiver and believe they will return some of the tripled amount to me.,166,2451,50,3,In order to share the amount received.,3,"This is a classic example of the prisoner's dilemma game. If the sender does not transfer any money, then it is in the receiver's best interest to not transfer any money back. If the sender does transfer money, then it is in the receiver's best interest to transfer some money back, but not all of it. Returning 3 ECU strikes a balance between mutual cooperation and selfishness."
167,ODU,2619,58,No,Keep what I have.,Yes,I want to help the receiver and trust that they will return some of the amount to me.,167,2467,42,4,Both end with 7 so fair.,3,"This decision is based on the concept of fairness and reciprocity in social exchange, where returning half of the received amount is seen as a fair and equal division of resources."
168,ODU,2623,25,Yes,It's the right thing to do.,Yes,"I expect the receiver to return some of the 6 ECU, so I will benefit from the transfer.",168,2477,61,1,Want to keep for myself.,0,I keep all 6 ECU.
169,ODU,2646,60,Yes,It seems the most logical way to trust the other person to do the right thing.,Yes,I trust the receiver to make a fair decision.,169,2481,10,3,I want to show the sender that I am a team player and by working together we can both do well.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
170,ODU,2659,45,No,I believe in this situation the receiver will not transfer me any money therefore I'm not going to transfer them any money.,Yes,It seems like a good opportunity to potentially increase my final payment.,170,2489,41,4,"Split reward equally (-2 net for other, +4 means we both gain 2).",2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
171,ODU,2667,9,No,I'm not convinced that the other person will send any money back.,Yes,I choose to trust the receiver and believe they will return some of the money.,171,2529,41,4,So we will both have 7.,2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
172,ODU,2684,14,No,I may not get anything back.,Yes,I trust the receiver to do the right thing.,172,2590,10,3,It is an even split.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
173,ODU,2688,57,Yes,Because both of us could end up with more.,Yes,It seems like a good opportunity to potentially earn more money.,173,2623,15,4,"Assuming the sender transfers 2, this would put us both on an equal amount.",3,"I am returning 3 ECU to the sender as a fair return for their transfer of 2 ECU, which was tripled to 6 ECU by the experimenter. This way, both of us can end up with equal amounts of ECU after the transfer."
174,ODU,2697,50,Yes,Assuming a sense of fairness the receiver should return at least half or 3 units to me.,Yes,I trust the receiver to return a fair amount.,174,2637,10,3,The sender will have the same amount they started with.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
175,ODU,2702,22,No,It will not be tripled.,Yes,I expect a positive return.,175,2646,34,4,We'll both make a profit but slightly more going to me.,3,To maximize my own payoff while being fair to the sender.
176,ODU,2709,22,Yes,Then at least get 4 possible more so you are only risking 2.,Yes,I expect a positive return.,176,2658,10,0,I want to make the most of a scenario I feel I have more control over.,3,"I'll return half of the received amount to the sender, as a fair and cooperative gesture."
177,ODU,2730,6,No,There's too little incentive to send back.,Yes,I am following the trust game theory that suggests cooperation leads to mutual benefit.,177,2667,57,4,I thinks it's fair to share the overall ECU amount equally.,2,I'm playing it safe and trying to maintain a balance in the relationship by returning a portion of the tripled amount. This shows that I'm grateful for the transfer and also leaves me with some extra money.
178,ODU,2828,49,No,Well they might not send any back so I might as well keep it all from the start.,Yes,I trust the receiver to return a fair amount.,178,2684,20,0,I would rather keep the ECU.,2,"This decision is based on the principle of reciprocity, where one returns the same amount they received."
179,ODU,2830,61,Yes,I trust the other person to do the right thing.,Yes,"I want to demonstrate trust and hope for a positive outcome, which could lead to a reciprocal act of kindness.",179,2688,58,3,So we have a fair share.,2,"It's a fair balance, returning an equal amount to what was transferred."
180,ODU,2847,52,Yes,"It's not a lot to give, and hopefully, they would be nice and give me a slight bit more in return.",Yes,"I trust the receiver to return some ECU, even if it's not the full amount.",180,2689,25,0,This is the way to maximise my payout.,3,I aim to maximize my own payoff and also maintain fairness to some extent. Returning 3 ECU to the sender is a compromise between these two objectives.
181,ODU,2850,40,Yes,I might receive more in return.,Yes,I trust the receiver to return some of the tripled amount.,181,2697,18,4,"It is fair as they should gain 7 overall and I will have 7, too.",2,I'm maximizing my own earnings.
182,ODU,2854,19,Yes,I'm hoping the financial implications will favour me.,Yes,I stand to gain more ECU by transferring 2 ECU and potentially having the receiver return some of it.,182,2727,14,3,I think it is only fair to reward the other person with the same amount for trusting to send the 2 ECU.,4,"I return 4 ECU because it's a fair compromise between keeping more for myself and returning more to the sender. This way, both of us end up with more than our original endowment, which is a win-win situation."
183,ODU,2863,30,Yes,I would still have 3 ECU and may increase this if the receiver is fair.,Yes,I'll trust the receiver to do the right thing.,183,2730,18,3,Better to share and encourage good behaviour.,2,I'm maximizing my own earnings.
184,ODU,2876,30,Yes,"This is a generous decision and the worst case scenario is that I am left with 3 ECU, I lost less than half.",Yes,I'll trust the receiver to do the right thing.,184,2736,39,0,I gain nothing by returning any of the 6 ECU and the sender's decision is not affected by my answer.,4,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer."
185,ODU,2894,27,No,Because if I send 2 what they get is tripled and if they decide not to send anything back I am out of pocket.,Yes,Trust and reciprocity.,185,2802,54,3,Sending back 3 would mean both the sender and I would have more ECU than we did at the beginning.,3,"I'm returning 3 ECU to the sender as a cooperative gesture and to maintain a positive relationship. This way, both of us end up with a decent amount of ECU, and there are no hard feelings."
186,ODU,2926,7,Yes,A kind thing to do.,Yes,I stand to potentially gain more ECU by making the transfer and relying on the receiver's generosity in their return amount.,186,2828,41,0,I don't see any reason at all to send them money. I would either gain less or lose.,2,"To maximize my own payout, I would return 2 ECU to the sender so that I keep 4 ECU for myself and the sender keeps 3 ECU. This way, both of us end up with the highest possible payout given the constraints of the task."
187,ODU,2933,64,Yes,To receive more ECU.,Yes,"It's a trust-building exercise where the receiver might return some of the ECUs, leading to a higher payout for both parties.",187,2830,60,3,Sharing down the middle is a fair exchange.,2,"This is the minimum amount that can be returned, ensuring that the receiver receives the maximum amount of ECU possible."
188,ODU,2934,10,No,I don't think they will send any back to me.,Yes,I trust the receiver to return some ECU back to me.,188,2847,40,3,"This seems fair, as they then gain 1 through the exchange.",3,"I'm following a strategy of fairness and reciprocity, which involves returning half of the amount received. By returning 3 ECU, both the sender and I end up with equal amounts of money (6 ECU each), and this outcome is considered fair by many people."
189,ODU,2938,31,Yes,It's a gamble.,Yes,It's a risk worth taking.,189,2863,31,4,This would leave us both with 7ECU each which is more than we started with.,0,I'm keeping all of it.
190,ODU,2957,30,No,I think that the receiver may well send me 0 ECU in return hence I am happy to keep my initial 5 ECU.,Yes,I'll trust the receiver to do the right thing.,190,2876,38,4,It would be fair and reasonable to do this as we both started with 5 and would both finish with 7 each.,2,"I'm trying to maximize my own payout while also being fair to the sender. If I return 2 ECU, then we both end up with the same amount we started with (5 ECU). This seems like a fair outcome."
191,ODU,2975,15,No,Not enough benefit for the risk of loss.,Yes,I'm a cooperative person.,191,2878,40,0,Want to gain in this case.,3,"I'm following a strategy of fairness and reciprocity, which involves returning half of the amount received. By returning 3 ECU, both the sender and I end up with equal amounts of money (6 ECU each), and this outcome is considered fair by many people."
192,ODU,2981,6,Yes,I will get profit on it.,Yes,I am following the trust game theory that suggests cooperation leads to mutual benefit.,192,2898,56,4,As I feel they would benefit more from it.,2,It's a fair and equal split of the tripled amount.
193,ODU,2987,61,Yes,This might mean higher payment for both outcomes.,Yes,"I want to demonstrate trust and hope for a positive outcome, which could lead to a reciprocal act of kindness.",193,2934,48,0,I don't want to send any back.,3,"In the spirit of fairness, I return half of what was given to me."
