StatementID,TreatmentCode,SubjectID,ID,PD,PD_JUS,AI_PD,AI_PD_JUS
190,ODU,2396,20,B,"As was with the other situation, B is more than likely to come back with a good return compared to A, A is risker.",A,"Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B."
191,ODU,2399,40,B,I make money whatever but chance to make more.,A,"I choose option A because it results in either both parties earning 5 ECU or me earning 1 ECU, which is a safer choice compared to choosing option B, where there is a risk of earning only 3 ECU."
192,ODU,2416,12,A,I think they will choose A.,A,Because option A has higher expected value.
193,ODU,2417,5,A,It is the first option so the other person may think along those lines too and click the quickest/nearest one to their cursor.,A,Maximize expected payout.
194,ODU,2425,59,B,Have to choose something.,A,5 ECU is the highest mutual payout.
195,ODU,2451,37,A,This is the option that gives us potentially the most ECU each.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
196,ODU,2462,49,A,Best way to ensure we get decent returns.,A,"I think option A is the better choice because it results in a higher payout in two of the possible combinations of choices, compared to option B."
197,ODU,2466,22,B,Think will make a better decision myself.,A,"I choose option A because it gives a higher expected payout, regardless of the other player's choice."
198,ODU,2467,27,B,Going to get either the most (8) and avoid the least (1).,A,Choosing A results in the highest average payout.
199,ODU,2481,36,A,It seems only right to divide equally.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
200,ODU,2490,30,A,I think this is the fairer choice where we would both benefit equally.,A,"I want to maximize my earnings and in this case, choosing A leads to higher expected earnings."
201,ODU,2503,43,A,I would like us to fairly get a decent amount.,A,"Choosing A maximizes the payout in the worst-case scenario, where the other person chooses B, resulting in a payout of 1 ECU."
202,ODU,2529,63,B,I am happier with a range of 3-8 ECU than a range of 1-5 ECU.,A,I'll choose option A because it gives me a higher expected payout than option B regardless of the other person's choice.
203,ODU,2532,60,B,From the instructions it appears I'm going to maximize returns by choosing option B.,A,I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.
204,ODU,2540,41,A,I'm hoping that A is the usual go to for people.,A,"Option A provides a higher expected payout of 5 ECU, compared to 3 ECU for choosing option B. This makes option A the more favorable choice."
205,ODU,2566,64,A,I like to share.,A,"The expected payout for choosing A is 4 ECU, which is higher than the expected payout for choosing B (3 ECU)."
206,ODU,2570,10,A,Largest amount of coins for both.,A,The expected payout for choosing A is higher than for choosing B.
207,ODU,2590,48,B,Best chance at getting most each.,A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
208,ODU,2597,18,B,Better in all options.,A,Choosing option A minimizes the risk of getting the lowest reward.
209,ODU,2619,15,A,Better odds of maximising return.,A,"Choosing option A is the dominant strategy in this situation, as it guarantees a positive payout no matter what the other person chooses. If the other person also chooses A, both of you get 5 ECU. If the other person chooses B, I still get a payout of 1 ECU, which is better than getting 0 ECU for choosing option B."
210,ODU,2623,53,A,"I'm, again, hoping for equality.",A,The expected value of A is greater than B.
211,ODU,2646,54,A,I feel like this will be best for both parties.,A,"Choosing option A ensures that I receive a positive payoff regardless of the other person's choice. Additionally, it maximizes the likelihood of a positive payoff for both parties, since we both receive 5 ECU if we both choose A."
212,ODU,2658,13,A,I'm betting on fairness.,A,"Mathematically speaking, Option A provides a higher expected value (5 ECU) compared to option B (3 ECU) regardless of the other person's choice."
213,ODU,2682,12,A,I have gone for the fairest option which is to get 5 ECU each.,A,Because option A has higher expected value.
214,ODU,2688,45,B,To be a little more selfish on this last one.,A,"Choosing option A gives me the best expected payoff, regardless of what the other person chooses."
215,ODU,2709,32,B,"If I pick A, I get 1 or 8, but B, the least I get is 3 so taking less risk.",A,I choose option A because I would rather have a guaranteed payout of 5 ECU rather than a potential payout of 3 ECU.
216,ODU,2719,40,B,"I’m hoping they’ll choose A, so I get more!",A,"I choose option A because it results in either both parties earning 5 ECU or me earning 1 ECU, which is a safer choice compared to choosing option B, where there is a risk of earning only 3 ECU."
217,ODU,2727,38,A,I put my faith in the other person not being greedy.,A,"Choosing option A maximizes the minimum payoff that can be earned, regardless of the other player's choice. This means that if the other player chooses A, both players will earn 5 ECU, and if the other player chooses B, the player choosing A will still earn 1 ECU, which is the highest possible payoff in that scenario."
218,ODU,2730,4,B,The gap in potential payouts is quite large and most people are greedy.,A,"Choosing A provides a higher payout on average compared to choosing B, regardless of the other person's choice."
219,ODU,2736,58,B,"Choosing A scores 1 or 5, choosing B scores 3 or 8. It improves both best and worst case scenarios.",A,"Sure, option A is the safe choice as it guarantees a minimum payout of 1 ECU, whereas choosing option B could result in earning as little as 3 ECU."
220,ODU,2746,36,A,Overall maximisation for the collective.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
221,ODU,2769,53,A,Makes sense to choose this for max gain.,A,The expected value of A is greater than B.
222,ODU,2786,14,B,Hopping the other chooses B.,A,"I choose A because it guarantees that I earn at least 1 ECU, regardless of the other person's choice."
223,ODU,2802,39,A,I think it makes sense to pick B as I’ll get at least 3 ECU rather than a minimum of 1.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
224,ODU,2810,13,A,The decision potentially gives the greatest reward for least risk.,A,"Mathematically speaking, Option A provides a higher expected value (5 ECU) compared to option B (3 ECU) regardless of the other person's choice."
225,ODU,2828,2,B,Well if they're sensible we both get 3 ECU.,A,"Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU."
226,ODU,2830,30,B,"I am trying to get the best outcome I can, therefore, B is the best choice for me.",A,"I want to maximize my earnings and in this case, choosing A leads to higher expected earnings."
227,ODU,2847,14,B,I don't entirely trust the other person to not choose B in hopes of gaining the majority.,A,"I choose A because it guarantees that I earn at least 1 ECU, regardless of the other person's choice."
228,ODU,2850,7,A,A is the least risk.,A,I choose option A to maximize my expected payout.
229,ODU,2863,39,A,I choose the equal  win/win option.,A,I would choose A because it offers the highest expected payout regardless of the other person's choice.
230,ODU,2876,10,B,"I don't need A.I., with B I will either get 8 or 3 ECU. There is better chance of me gaining more than with option A which is 1 or 5 ECU.",A,The expected payout for choosing A is higher than for choosing B.
231,ODU,2878,9,B,Hoping other chooses A.,A,"I would choose option A as it offers a higher payout than option B when the other player also chooses A, and a slightly lower payout than option B when the other player chooses B."
232,ODU,2893,48,B,"I think B is much better, because if the other chose A.",A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
233,ODU,2898,60,A,As I feel it would be the best outcome.,A,I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.
234,ODU,2912,36,A,In this case we'd both get 5 ECU which I think is a fair amount for us both. Making any other choice risks one of us getting significantly less. So A is the optimal choice.,A,"I choose A because I want to minimize the chances of getting only 1 ECU, which happens if the other person chooses B and I choose A. By choosing A, I ensure that I will get at least 3 ECU even if the other person also chooses A."
235,ODU,2926,40,A,Try to get the highest reward but still being fair.,A,"I choose option A because it results in either both parties earning 5 ECU or me earning 1 ECU, which is a safer choice compared to choosing option B, where there is a risk of earning only 3 ECU."
236,ODU,2938,48,B,I hope he chooses A.,A,I prefer option A because it gives me a chance to earn a higher payout regardless of the other person's choice.
237,ODU,2945,4,A,That is the best option as long as we both pick the same.,A,"Choosing A provides a higher payout on average compared to choosing B, regardless of the other person's choice."
238,ODU,2952,47,A,I trust that they will choose fairly (A) also.,A,I'd choose option A because I think it gives me a better chance of getting a higher payout.
239,ODU,2957,53,A,It has to be A as we both benefit clearly from this with little risk of gaining little.,A,The expected value of A is greater than B.
240,ODU,2968,64,A,So that I maximize my profits.,A,"The expected payout for choosing A is 4 ECU, which is higher than the expected payout for choosing B (3 ECU)."
241,ODU,2975,46,A,Most beneficial for both parties.,A,"I choose A because it gives me a higher expected payout than choosing B, no matter what the other person chooses."
242,ODU,2981,37,B,There is more probability of choosing B by the other one.,A,"I choose option A because the expected payout is higher compared to option B. If both I and the other person choose option A, we both get 5 ECU, and if the other person chooses option B, I get 1 ECU and the other person gets 8 ECU. The average of these two outcomes is (5 + 1)/2 = 3 ECU. So the expected payout for option A is higher."
243,ODU,2987,12,B,It's the more safer choice to secure a decent payment.,A,Because option A has higher expected value.
