StatementID,TreatmentCode,SubjectID,personality_string,UGProposer,UGResponder,TGSender,TGReceiver,PD,SH,C,UGProposer_JUS,UGResponder_JUS,TGSender_JUS,TGReceiver_JUS,PD_JUS,SH_JUS,C_JUS,ID,AI_UGProposer,AI_UGResponder,AI_TGSender,AI_TGReceiver,AI_PD,AI_SH,AI_C,AI_UGProposer_JUS,AI_UGResponder_JUS,AI_TGSender_JUS,AI_TGReceiver_JUS,AI_PD_JUS,AI_SH_JUS,AI_C_JUS
87,TRP,2714,2221211,5,5,Yes,3,B,X,earth,It is only fair we split the allocation equally and also to avoid losing all the allocation due to greed.,It is only fair we split the allocation equally and also to avoid losing all the allocation due to greed.,I am just taking a risk.,It is only fair we split the allocation equally.,Option B minimizes my potential loss since the other person can be easily influenced by greed.,"Logically, we both will choose X to get the highest allocation.","Since we are both from earth, we may both probably want to choose earth.",117,5,1,Yes,0,A,X,venus,"I think offering half of the endowment is a fair compromise, as it gives both of us a positive outcome. This way, there's a good chance the responder will accept and we'll both end up with some money.",I'd rather have some ECU than none at all.,I'm feeling generous today.,I keep all 6 ECU to maximize my own earnings.,"I choose A because I think it gives me the best overall payout, regardless of the other person's choice.","Choosing X gives the best average payout, regardless of what the other person chooses.","It's just a gut feeling, but I have a hunch that choosing Venus will lead to a higher payout in the end."
88,TRP,2722,2211211,5,2,Yes,3,B,Y,earth,This will likely be accepted.,I feel there should be a threshold.,I am hoping for good will.,I will remain fair in my choice.,I feel they will see this as best odds.,I hope they see the best odds for mutual benefit.,I am hoping they think like me that Earth is habitable.,101,5,3,Yes,3,A,X,saturn,"It seems like a fair and reasonable amount to offer to the responder, balancing the idea of sharing with the need to keep some for myself.","I believe that accepting an offer less than 3 ECU would not be fair, and I would rather receive nothing than an unfair amount.","I believe in helping others and I think that by sending 2 ECU, it could lead to a positive outcome for both of us.",Returning 3 ECU to the sender strikes a balance between taking advantage of the tripled transfer and being fair to the sender. It shows gratitude for the transfer while also recognizing that both parties should benefit from the interaction.,"Choosing option A is a safer bet, since it guarantees some reward regardless of the other person's choice.","Choosing X results in the highest payout if both players choose the same option and the lowest payout if the other player chooses the opposite option, so it's a safe choice with potential for a big payout.",I just think Saturn is an interesting and unique option.
89,TRP,2763,2221211,5,3,Yes,3,A,X,earth,"The split is fair, and so is the potential risk.",This gives the other person some room to take a larger share while ensuring I can gain some for myself.,It can be a mutually beneficial opportunity at a low risk.,"It is a mutually beneficial choice, taking into account the other person.",This is made assuming maximum mutual benefit.,There is a higher payoff for both of us.,It is the most popular planet.,117,5,1,Yes,0,A,X,venus,"I think offering half of the endowment is a fair compromise, as it gives both of us a positive outcome. This way, there's a good chance the responder will accept and we'll both end up with some money.",I'd rather have some ECU than none at all.,I'm feeling generous today.,I keep all 6 ECU to maximize my own earnings.,"I choose A because I think it gives me the best overall payout, regardless of the other person's choice.","Choosing X gives the best average payout, regardless of what the other person chooses.","It's just a gut feeling, but I have a hunch that choosing Venus will lead to a higher payout in the end."
90,TRP,2778,2211121,5,5,Yes,3,A,X,earth,I'm banking on the responder to see this is the least risky approach.,I'm banking on the proposer to see this is the least risky approach.,I think this option is the best chance of the receiver to treble the endowment.,"It gives the sender a small profit, whilst I retain my own profit.",The other person will see this as the least risk.,"It's the best outcome for the other person, regardless of my choice and I'm banking on the other person seeing those odds.",It's an obvious choice (hopefully).,99,5,1,Yes,0,A,X,venus,I think a 50-50 split is a fair and reasonable offer in this situation.,"I would like to receive some reward for participating in this task, even if it's just a small amount.","It seems like a fair move to make in this situation, as the amount transferred will be tripled and there is potential for a positive outcome for both parties.",I don't feel the need to return anything since I didn't do anything to earn it. The sender made the decision to transfer the funds and I am simply keeping what was given to me.,I choose A because it results in the highest average payout and reduces the risk of getting the lowest payout.,"Choosing X results in the best outcome in the case where the other person also chooses X. And even if the other person chooses Y, it still results in a higher payout for me than choosing Y.","I choose Venus because I like the sound of it and think it might be a common choice, increasing my chances of getting 5 ECU."
91,TRP,2785,2112221,5,4,Yes,4,A,X,earth,"It's a fair split, I wouldn't expect them to ask for more than that.","I would hope for even split, would take four, any less than that means they are selfish and I'd rather get nothing.","It has a chance of being tripled, and hopefully a fair share returned.",We end up with the same number of points which thanks them for trusting me.,Because hopefully then we both get 5ECU and the outcome is fair. It is a higher amount than if we both choose B.,"It's a win win, even if the other player is selfish, it's in the best interest of both to choose X.",I think it gives the best chance of both selecting the same answer to get the most ECU.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
92,TRP,2788,2112221,5,5,No,2,B,X,earth,I think this is where they will set their acceptance level.,If I don't get half neither of us get any!,I do not think they will send any points back.,I have returned the points they sent and still made a net gain.,I get more points for choosing B.,This choice results in both me and them getting most points.,"There is no way to know what the other will choose, but I live on earth so I choose that. All options give the same reward.",79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
93,TRP,2803,2122221,5,4,Yes,4,A,X,earth,"Offering to split the ECU equally is likely to be acceptable to the other party, offering less runs the risk of rejection and receiving nothing.","Whilst 5 is the fairest offer, 4 is not so far away that I'd rather we both got 0.","The highest potential return, with fairness between the parties, is to transfer 2 and expect 4 back, leaving each player with 7.",To equalise our returns at 7 each.,"The highest guaranteed return and highest total payout (split between the two players) comes if both choose A, so I start with that.","The highest guaranteed return and highest total payout (split between the two players) comes if both choose A, so I start with that.",The option to which we are both closest to.,95,5,1,Yes,0,A,X,mercury,"I believe that a fair and balanced offer would be to give half of my endowment to the responder. This will result in both parties receiving a moderate amount of ECU, which is better than receiving nothing at all if the offer is rejected.","I believe it is reasonable to ask for at least some compensation for participating in the exchange, even if it is a small amount.","The decision to transfer 2 ECU to the receiver is based on the potential for a mutually beneficial outcome, where both parties can increase their final payment.",I choose to keep the full 6 ECU and not return any to the sender. This decision is based on self-interest and maximizing my own payout.,This choice maximizes the expected payout while also limiting the risk of a low payout.,"The option X results in a better outcome in three out of four possible combinations, so it is the more optimal choice.",It's just a personal preference.
94,TRP,2820,2122221,5,1,Yes,4,A,X,mercury,I think the person will think that half is fair.,"I will accept any amount as it's greater than the alternative, which is 0.",I think the other person will be sympathetic.,It's a win win scenario for both of us and I think the other person will see it that way.,I think it's likely the other person will go for A.,I think the other person will agree with my logic and pick the same.,I assume that the other person will pick the same as me.,95,5,1,Yes,0,A,X,mercury,"I believe that a fair and balanced offer would be to give half of my endowment to the responder. This will result in both parties receiving a moderate amount of ECU, which is better than receiving nothing at all if the offer is rejected.","I believe it is reasonable to ask for at least some compensation for participating in the exchange, even if it is a small amount.","The decision to transfer 2 ECU to the receiver is based on the potential for a mutually beneficial outcome, where both parties can increase their final payment.",I choose to keep the full 6 ECU and not return any to the sender. This decision is based on self-interest and maximizing my own payout.,This choice maximizes the expected payout while also limiting the risk of a low payout.,"The option X results in a better outcome in three out of four possible combinations, so it is the more optimal choice.",It's just a personal preference.
95,TRP,2840,2112221,10,10,Yes,6,A,X,mars,Nice is always good.,Honesty works in the end.,It's always good to be honest.,The truth is always good.,Good to be truthful.,Love will work out.,I like the chocolate bar.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
96,TRP,2872,2112222,1,1,No,3,B,X,earth,This maximises my return and the alternative is the responder gets nothing (if they reject it). So it makes sense this will be the minimum they will accept.,This ensures I get something as the alternative is we both get nothing.,I think it's unlikely the receiver will send any back so I value retaining my 5 ECU more.,"I suspect the sender won't send any but feel it's only fair to reward them with half of what I've received (so a small increase for them), if they have sent anything.",This ensures I get a minimum of 3 as would the other person. I'm not willing to go for A (where I would get a higher amount if the other person chose it too) as I believe the other person will more likely try to maximise their return.,"If we both choose X, we both get the highest return and so it's the logical decision.",There's no real rationale here as it's a random guess we both choose the same one (in order to maximise our return).,80,5,1,Yes,3,A,X,venus,"Split the endowment in half, so both parties receive an equal amount and the chance of rejection is minimized.",I am willing to accept any non-zero amount as long as both parties receive something.,I believe in being fair and cooperative.,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice.",Choosing X maximizes the joint payout and ensures that both parties earn a minimum of 4 ECU.,"I feel like Venus is a balanced and stable choice, and has a good chance of matching with the other person's choice."
97,TRP,2879,2112221,5,4,Yes,3,A,X,earth,This is the fairest decision for both if we are both rational.,"5 would be fair, but I will accept 4.",It's the best way for us to get most overall.,This is the fairest approach.,Try to get the most overall.,This is the best decision for both if we are both rational.,Seems the most likely to be chosen.,79,5,1,Yes,3,A,X,venus,"Offering 5 ECU is a fair compromise that allows for a mutually beneficial outcome. It also ensures that both parties receive some reward, avoiding a scenario where both receive nothing.",Receiving any amount is better than receiving nothing.,Because it aligns with the principles of fairness and altruism.,Returning half of the received amount seems like a fair and balanced action.,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A.","Choosing X results in a higher payout in 2 out of the 4 possible scenarios, and the payouts in the other 2 scenarios are not much lower than choosing Y.","I choose Venus simply because it seems like a good, solid choice. It doesn't stand out as the absolute best option, but it also doesn't have any major drawbacks. It's a safe choice that I think will lead to a decent outcome."
98,TRP,2911,2212221,5,5,Yes,3,A,X,mercury,I am still able to get 5 ECU even if the decision is not in my favour.,I believe we should share the ECU equally.,They will make the decision that suits them.,I want to split the money fairly.,This choice benefits us equally.,It is the most fair and equal choice.,It means we will get the same reward if our options are the same.,111,5,1,Yes,3,A,X,venus,"I believe it's reasonable to offer half of the endowment to the responder, as this could result in both parties getting some reward and avoiding the possibility of both getting nothing.","I believe that every person deserves to receive something, even if it's just a little. Rejecting the offer and getting nothing seems unfair to me.","I believe in fairness and helping others, so I choose to transfer 2 ECU.","I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange.","Choosing option A is a cooperative choice that leads to mutual benefit, while choosing option B is more selfish and leads to a winner-takes-all outcome.",I choose X because it gives me the opportunity to earn more money regardless of the other person's choice.,It just felt like the best choice.
99,TRP,2954,2211222,5,4,Yes,2,B,X,mercury,Because I would not go any higher than that and it means we end up with an equal amount.,It is below half and is a good round number.,Because there is more of a chance of a good outcome.,I get the benefit of the triple and the other gets their money back.,I would always choose B.,It's the sensible thing to do.,I like mercury and I am sticking with it.,104,5,5,Yes,2,A,X,earth,I believe that offering half of the endowment is a fair and balanced proposal. It also shows goodwill and a willingness to share with the responder.,"I believe it's only fair for both parties to receive an equal amount of the endowment. So, half should go to me and half should go to the proposer.",I believe in helping others and creating a positive outcome for both parties involved.,"Returning 2 ECU to the sender seems like a fair decision, as it allows both parties to keep an equal amount of money (5 ECU each). Additionally, it acknowledges the sender's initial generosity and may encourage future cooperation.","Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice.","Choosing X gives a better chance of getting 8 ECU, which is more money.",I choose Earth because it is the only planet that we currently know of that can support human life.
100,TRP,2964,1222121,3,5,No,2,A,Y,venus,Based on whether the other person rejects my offer or accepts it.,Average ECU I can accept.,Want to know how much the receiver will send.,Based on his decision or what he sent.,Still probability other person will go for A.,Want to get higher ECU.,Just guess that's what other person will choose.,59,5,1,No,0,A,X,mars,"I think it's a fair split, considering we both should benefit from this deal.","I'd take any amount offered, as it's better than nothing.",I'm not giving any money.,I'll keep all of the 6 ECU for myself.,I choose option A for potential higher payout.,I choose option X for the most money.,Just going with my gut feeling.
101,TRP,2989,2122121,5,4,No,0,B,Y,earth,I think they will see this as fair.,This is close to my best situation of 5 being offered.,I do not want to risk loosing money.,I want to make as much as possible.,I want to avoid getting just 1 ECU.,I do not want the possibility of a very low return.,A person will always think of earth first.,91,0,1,No,0,A,X,mercury,I'm keeping all of it because I have to look out for myself.,Because receiving something is better than receiving nothing.,"Keep the money for myself, no reason to give it away.",I keep all of the 6 ECU to maximize my own earnings.,"Choosing option A guarantees a payout of at least 1 ECU, whereas choosing option B only guarantees a payout of 3 ECU. It's the safer option, maximizing the minimum amount of ECU earned.",Maximizing individual gain.,Just going with a random choice.
102,TRU,94,NA,5,5,Yes,2,A,X,earth,To earn more bonus.,To earn more bonus.,I want to earn more bonus.,To earn more bonus.,To earn more bonus.,To earn more bonus.,We live on Earth.,31,5,1,Yes,0,A,X,venus,"I'd like to offer half of my endowment, 5 ECU, to maximize the chances of the responder accepting the offer and both of us receiving some money.",Any amount is better than none.,It's a risk worth taking.,I'm keeping all of it.,Choosing A yields a higher expected payout compared to choosing B.,Maximizing expected payout.,I randomly selected this option.
103,TRU,114,NA,5,5,No,0,A,X,earth,"Because it is half, and what I would put as my minimum if I were on the other end.",If they give me any less it means they have chosen more for themselves and I would only accept a half split.,Because the wording of the scenario is ridiculously confusing and I don't really understand it.,Because the wording of the scenario is ridiculously confusing and I don't really understand it.,So we both get the best deal.,Because I will receive 8 ECU which is the higher number.,"Because it is the most relatable one and probably the same one that the other person will pick, therefore increasing our chances to both get 5 ECU.",20,5,1,Yes,2,A,X,mars,I want to split the endowment fairly.,"I want to receive some money, so I accept any positive offer.","It's a win-win situation, either the receiver returns the amount or they don't, either way I will be making more money.","This decision is based on the principle of reciprocity, where one returns the same amount they received.","Choose A as it leads to the highest expected payout (5 ECU) if the other person also chooses A, and the lowest payout (1 ECU) if the other person chooses B.","Option X yields the highest expected payout, regardless of the other player's choice.",I like the sound of Mars.
104,TRU,125,NA,4,5,No,2,B,Y,earth,So I have more than half.,Half the amount.,I want to keep it.,I would like to keep the most.,That is the option I wanted to chose.,That is the option I wanted to chose.,That's where I live.,9,5,1,Yes,2,A,X,mars,"I want to offer the responder 5 ECU because it's a fair compromise between keeping the majority for myself and giving a significant enough amount to the responder to make the offer worth their acceptance. This way, both of us can come away with some ECU and avoid leaving empty-handed.","I want to receive something, so I will accept any positive offer.",I choose to trust the receiver and believe they will return some of the money.,"I want to maintain fairness and reciprocate the sender's trust, so I choose to return half of the amount received.","I would choose option A as it offers a higher payout than option B when the other player also chooses A, and a slightly lower payout than option B when the other player chooses B.","Choosing X yields a higher payout in 3 out of 4 possible scenarios, so it's the safer bet.",I choose Mars because it seems like a good option.
105,TRU,140,NA,5,3,Yes,4,A,X,saturn,"So it is even, feels the fairest.","Anything less is a bit insulting, should be close to even really.","It's a nice thing to do, and I hope they transfer the 2 back.","Assuming they send the 2 ECU, if I send 4 back I think it will be even.",It's even for the both of us and is more than if both chose B.,It's the best outcome for both of us.,I like the rings.,9,5,1,Yes,2,A,X,mars,"I want to offer the responder 5 ECU because it's a fair compromise between keeping the majority for myself and giving a significant enough amount to the responder to make the offer worth their acceptance. This way, both of us can come away with some ECU and avoid leaving empty-handed.","I want to receive something, so I will accept any positive offer.",I choose to trust the receiver and believe they will return some of the money.,"I want to maintain fairness and reciprocate the sender's trust, so I choose to return half of the amount received.","I would choose option A as it offers a higher payout than option B when the other player also chooses A, and a slightly lower payout than option B when the other player chooses B.","Choosing X yields a higher payout in 3 out of 4 possible scenarios, so it's the safer bet.",I choose Mars because it seems like a good option.
106,TRU,183,NA,5,5,Yes,3,A,X,earth,Still the fairest division.,"Hopefully, the other person will be fair and logical.","I think that the receiver will have enough of a sense of fairness to return half their gains to me (i.e., 3 ECU).",Seems fair to both of us.,Fairest outcome if we both choose A.,Highest payout for both of us if both choose X.,Still a guess but we all hopefully live on earth so it might have more relevance.,42,5,1,Yes,3,A,X,venus,"I think it's a fair offer that balances my self-interest with the responder's potential acceptance. By offering 5 ECU, I get to keep half of the endowment while also increasing the likelihood that the responder will accept the offer and we'll both end up with some money.",I'll accept any positive amount because it's better than getting nothing.,"I think it's a generous move and it might encourage the receiver to return some of the amount, which would increase my final payment.","This decision is based on the concept of fairness and reciprocity in social exchange, where returning half of the received amount is seen as a fair and equal division of resources.","Sure. Option A is the dominant strategy because it leads to the highest minimum payoff, regardless of the other person's choice. If the other person chooses A, both receive 5 ECU. If the other person chooses B, I receive 1 ECU. So no matter what, I will receive at least 1 ECU.",Choosing X results in a higher payout in two out of four possible scenarios.,No problem. I choose Venus because I believe it will give me the best chance of earning money in this game.
107,TRU,233,NA,5,5,Yes,4,A,X,earth,I think it's fair.,It's the fairest share.,I hope I get something back.,It's the fairest share.,It's the fairest share.,We both get a good reward.,I would hope the other person thinks the same as me.,12,5,1,Yes,2,A,X,mars,"I want to split the endowment in half, so 5 ECU for the responder and 5 ECU for myself. This seems like a fair and reasonable offer.","1 ECU is the minimum amount of money, so accepting anything less than that wouldn't make sense.",I believe in reciprocation and hope that the receiver will return some of the ECU I transferred.,"It's a fair move that benefits both parties, maximizing each person's earnings while also showing trust and cooperation.",Because option A has higher expected value.,Choosing X guarantees a higher payout (1 ECU) compared to choosing Y (0 ECU) if the other person chooses the other option.,I choose randomly.
108,TRU,255,NA,4,5,No,2,B,X,venus,I believe this is an acceptable amount I would be happy with.,Half of the amount is what I’m willing to accept.,I just don't trust to receive anything back.,Gives the sender their money back.,B pays a fair amount for all involved.,X gets us the greatest amount.,I feel if I pick the same they might eventually match.,24,5,1,Yes,0,A,X,venus,I want to split the endowment equally and offer 5 ECU to the responder.,Even 1 ECU is better than nothing.,I believe in trust and mutual benefit.,I keep all 6 ECU.,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.,I will maximize my expected value.,I randomly selected Venus.
109,TRU,297,NA,3,4,No,2,A,X,earth,I’d rather not give away too much.,That is what I will accept.,I rather keep it.,Return a small amount.,I think there is a better chance of me winning.,X will be selected.,I think there is a high chance of selecting this one.,39,5,1,Yes,4,A,X,venus,"I believe it's a fair offer to give half of my endowment to the responder. This way, we both benefit from the transaction and neither of us will be left with nothing.",I would accept any positive amount as receiving something is better than receiving nothing.,I want to trust the receiver and believe that they will return some of the money.,"I choose to return 4 ECU to the sender because it's a fair amount that balances self-interest and reciprocity. By returning 4 ECU, I can keep 2 ECU for myself while still showing appreciation for the sender's trust in me by returning a portion of the tripled transfer.",I would choose A because it offers the highest expected payout regardless of the other person's choice.,"Choosing X results in a higher payout in all possible combinations of choices, so it is the more advantageous option.",I just feel like it.
110,TRU,529,NA,5,5,No,0,A,Y,mercury,I would want my proposal to be accepted.,I think 5 is fair as it is an even split.,I don’t think I would receive any back.,"None because if the role is reversed, I don’t think the other person would share with me.",I like the fair split of 5 each.,I want a guaranteed larger amount.,There was no logic to my decision. It was purely a stab in the dark.,24,5,1,Yes,0,A,X,venus,I want to split the endowment equally and offer 5 ECU to the responder.,Even 1 ECU is better than nothing.,I believe in trust and mutual benefit.,I keep all 6 ECU.,Choosing A minimizes the potential loss and maximizes the potential gain in the interaction.,I will maximize my expected value.,I randomly selected Venus.
111,TRU,530,NA,2,5,Yes,3,B,X,venus,Because I am being cautious.,I don't have a justification.,I don't have a justification.,I don't have a justification.,I don’t have a justification.,I don’t have a justification.,Because it is the second.,16,5,1,Yes,0,A,X,earth,I think it's a fair offer that benefits both parties.,"I just want to receive some ECU, even if it's just a little bit.",It's a potentially profitable move.,I'm keeping all of the 6 ECU.,"I want to maximize my payout regardless of the other person's choice. If I choose A, I'm guaranteed at least 1 ECU, and I have the potential to earn 5 ECU if the other person also chooses A.",Maximizing expected payout.,"I choose the option with the highest likelihood of providing a payout. Since earth is a common choice, there is a high chance that the other person will also choose earth."
112,TRU,549,NA,5,5,Yes,0,A,X,mercury,I suspect the other person will not accept less.,I don't want less than half.,"Better to hope for something back, than nothing.",I want to maximise my profit.,"Better to be sure of something, than nothing.",The expected value is highest.,I'm hoping they pick the first and we both profit.,51,5,1,Yes,2,A,X,venus,"I think it's a fair and reasonable offer, giving the responder half of my endowment while still allowing me to keep a portion of the money.",Accepting an offer of 1 ECU is better than receiving 0 ECU.,I trust the receiver to return some ECU to me.,"I would return 2 ECU to the sender because it seems like a fair and equal split of the amount that was tripled. This way, both the sender and receiver end up with the same amount of ECU.","I choose A because, on average, I'll earn more ECU if I choose A compared to choosing B.","I choose X because it gives me the best expected payout, regardless of the other person's choice.",I choose Venus because it sounds like a good option.
113,TRU,561,NA,5,5,Yes,3,B,Y,mars,A 50/50 split seems fair.,A 50/50 split seems fair - it is what I would give.,"I should get some return on this, but if not I still have 3ECU.","It's a 50/50 split of the transfer, so seems fair.",I am likely to get a higher reward.,I am likely to get a higher reward.,It's an interesting planet.,60,5,1,Yes,2,A,X,earth,I'm trying to maximize my own payout while still making an offer that the responder is likely to accept. Offering 5 ECU strikes a balance between those two goals.,"I want to receive at least some amount of money, even if it's just 1 ECU. Rejecting the offer would result in both of us getting 0 ECU, so accepting any positive offer is preferable to rejecting the offer.",I trust the receiver to make a fair decision.,"This is the minimum amount that can be returned, ensuring that the receiver receives the maximum amount of ECU possible.",I prefer option A as it guarantees a payout of at least 1 ECU regardless of the other person's choice.,I prefer option X because it gives me a higher payout in all scenarios.,I choose earth because it sounds like a safe and reliable option.
114,TRU,587,NA,5,5,Yes,2,B,X,venus,I choose to send 5 ECU because it is a fair equal split.,I choose to accept a minimum of 5 ECU because it is a fair equal split.,I am totally interested in the building outcome.,I will send back 2 ECU so the sender doesn't lose anything.,I feel I get the better side of the deal.,"Hopefully, this is the best option and most rewarding I believe.",I chose this option as I am working down the list which is an easy option.,15,5,1,Yes,3,A,X,mars,"I believe this is a fair offer for both parties and increases the chance that the responder will accept it, leading to a positive outcome for both of us.","I believe that receiving any amount is better than receiving nothing, so I would be willing to accept any positive offer.",I'm a cooperative person.,"I am returning 3 ECU to the sender as a fair return for their transfer of 2 ECU, which was tripled to 6 ECU by the experimenter. This way, both of us can end up with equal amounts of ECU after the transfer.","Choosing option A is the dominant strategy in this situation, as it guarantees a positive payout no matter what the other person chooses. If the other person also chooses A, both of you get 5 ECU. If the other person chooses B, I still get a payout of 1 ECU, which is better than getting 0 ECU for choosing option B.",I'd rather take a chance to get 8 ECU than 4 ECU.,I choose mars randomly.
115,TRU,596,NA,5,5,No,0,B,X,mercury,It is the least I would click accept for.,It is the fairest option.,I just can't be sure they will send anything back.,I don't know them.,It seems to have the best chance of getting the most money.,It is worth a try. I have to hope for the best that they will pick X.,It is the first on the list.,2,5,1,Yes,2,A,X,mars,"I want to maximize my own payout while also increasing the likelihood that the responder will accept my offer, so I'm offering half of my endowment.","I want to earn something, so I'll accept any amount offered.",It could result in a larger payout in the end.,"This is a classic example of the prisoner's dilemma game, where both parties want to maximize their individual payout. If the sender sends 2 ECU, then it is tripled to 6 ECU for the receiver. If the receiver returns 2 ECU, both parties end up with the same amount of money they started with (5 ECU). Returning 2 ECU is a safe choice that guarantees both parties a fair outcome.","Choosing A gives a guaranteed outcome of 5 ECU regardless of the other person's choice, while choosing B gives a best-case outcome of 3 ECU and a worst-case outcome of 1 ECU.","Choosing X gives you the highest expected payoff (4 ECU) and has a higher chance of both players getting 8 ECU, which is the highest payout possible.",I prefer this option to increase the chance of earning 2 ECU if the other person doesn't choose it.
116,TRU,648,NA,5,3,Yes,4,A,X,earth,Splitting equally would be the most fair.,I can't rely on the other person.,I would like to believe that the other person would distribute equally.,This would balance the amount between both sender and receiver.,"The other person and I would both get 5, if we both picked 5.",This option would still maximise ECU payment.,Earth feels like something that would be picked by the other person the most.,5,5,1,Yes,3,A,X,earth,I want to keep 5 ECU and offer 5 ECU to the responder to maximize the chance of the offer being accepted and both of us receiving money.,It's better than nothing.,"I trust that the receiver will return some of the tripled amount, resulting in a higher overall payout for both of us.","To maximize both parties' payouts, a fair and equal split of the received amount is returned.",Maximize expected payout.,"I'll get 8 ECU if the other person chooses X, 1 ECU if they choose Y, so X is the better choice.","I choose the option that is most recognizable and commonly known to increase the likelihood of the other person choosing a different option, thus earning 2 ECU instead of 5."
117,TRU,674,NA,5,1,Yes,3,B,Y,mars,I think it is a fair offer.,I currently have none.,"A possibility the respondent will want to return half of my endowment, which is greater than the actual cost to me.",I will have still gained three ECUs and can ensure the sender benefits as well with no actual loss to myself.,Best outcome for both parties.,Provides the optimal possible return for both parties.,Mentioned more in popular culture and that might possibly influence decision making.,64,5,1,Yes,2,A,X,mars,"I believe that offering half of my endowment to the responder is a fair and reasonable offer, and will increase the likelihood that the responder will accept it.",I'm not willing to accept any less than 1 ECU.,"It's a trust-building exercise where the receiver might return some of the ECUs, leading to a higher payout for both parties.","I want to return enough to be fair, but also keep enough to maximize my own earnings. Returning 2 ECU strikes a balance between these two goals.","The expected payout for choosing A is 4 ECU, which is higher than the expected payout for choosing B (3 ECU).",I choose X because I want to maximize my earnings regardless of the other's choice. Choosing X guarantees me at least 1 ECU and has the potential to earn me 8 ECU if the other person chooses X as well.,Just going with my gut feeling.
118,TRU,759,NA,5,4,Yes,4,A,X,earth,This ensures our mutual benefit. I'm just hoping that the other person will see this as well.,I'm willing to receive less than 50% to ensure that we both win something.,I'm hopeful that they will share the tripled endowment with me.,This is the best option for both of us simultaneously.,"This will ensure the largest amount for both of us, simultaneously. I only hope the other person chooses the same.","I’m almost certain that the other person will choose this, as this will ensure us largest amount of bonus.",I'm choosing earth because I think this is the most likely option for the other person to choose.,22,5,1,Yes,2,A,X,earth,I want to be fair and keep the possibility of a mutually beneficial outcome alive.,Getting something is better than getting nothing.,I expect a positive return.,Maximizing personal payoff.,"I choose option A because it gives a higher expected payout, regardless of the other player's choice.",I maximize my expected payout by choosing X.,I choose Earth as it seems like a safe and familiar choice.
