StatementID,TreatmentCode,SubjectID,personality_string,PD,PD_JUS,AI_PD,AI_PD_JUS
196,ODP,2160,1111212,B,Guaranteed at least 3 ECU. Choosing A is less reliable as there is more risk and less reward.,A,"I choose option A because it benefits both parties equally, promoting fairness and promoting harmony."
197,ODP,2183,2211212,A,I think it is likely the other player will pick b.,A,"The choice is based on fairness and altruism, as choosing A results in a more equal distribution of earnings compared to choosing B."
198,ODP,2185,2222121,A,I would hope the other person would choose the highest reward and hope that I would do the same.,A,I choose option A because I believe it is the safer choice that provides a modest reward regardless of the other person's choice.
199,ODP,2201,2112221,A,Want to be fair.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
200,ODP,2202,2211121,A,"In order to help us both out, I decided to go for option A.",A,I choose A because it results in the highest average payout and reduces the risk of getting the lowest payout.
201,ODP,2218,1111221,A,It would be the fairest outcome for both parties.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
202,ODP,2219,2122121,A,Chance is 50/50 to get 8 so it is an open choice.,A,"Choosing option A guarantees a payout of at least 1 ECU, whereas choosing option B only guarantees a payout of 3 ECU. It's the safer option, maximizing the minimum amount of ECU earned."
203,ODP,2262,1211221,B,Best way to earn more if other person's decision is incorrect.,A,"Going with option A maximizes the chance for both people to earn more ECU together, creating a situation where both people can benefit."
204,ODP,2272,2111211,B,"I have a chance to get more, and even if we both choose B I still get a decent amount.",A,"I choose option A as it provides a more equal distribution of ECUs, with both parties receiving 5 ECUs if both choose A, compared to option B which gives one person 8 ECUs and the other only 3 ECUs if both choose B."
205,ODP,2280,2112221,B,Higher payout on average.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
206,ODP,2294,2111221,B,I've tried to be fair and hopefully we both gain.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
207,ODP,2299,2112222,B,Higher chance of more.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
208,ODP,2316,2112222,A,It's better to share and get half each.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
209,ODP,2326,1111221,B,Least I can get is 3ECU.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
210,ODP,2328,2222212,B,"It would be most wise to pick A every time because both players will get 5ECU, and for this reason I pick B because if the other person picks A then I get 8 ECU and if the other player picks B which they are less likely to do we will both get 3 ECU, which is not much less than 5ECU.",A,"Choosing Option A maximizes the chance of both me and the other person earning a decent payout, as it offers a 5 ECU reward if we both choose it. Even if the other person chooses B, which results in a lower payout for me, the expected value of choosing A is still higher than choosing B. Therefore, it seems like the safest and most rational choice to pick Option A."
211,ODP,2345,2121121,B,Bigger reward for a small risk.,A,Maximizing expected reward.
212,ODP,2364,2111211,A,We both get the same amount - it's fair.,A,"I choose option A as it provides a more equal distribution of ECUs, with both parties receiving 5 ECUs if both choose A, compared to option B which gives one person 8 ECUs and the other only 3 ECUs if both choose B."
213,ODP,2366,1112221,B,The payoff is greater if they go for A.,A,To earn a fair outcome for both parties.
214,ODP,2375,2111221,B,I'll get more.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
215,ODP,2377,2112121,A,We both get equal 5ECU.,A,"To maximize my own earnings, I choose A."
216,ODP,2388,2111221,A,I will risk that the other person will also choose 'A' in the name of fairness.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
217,ODP,2400,1112221,B,Hope for the most points.,A,To earn a fair outcome for both parties.
218,ODP,2401,2111221,A,There is a chance we could earn more if we both choose A.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
219,ODP,2414,1112212,B,So we receive equal if they choose B.,A,It's more cooperative.
220,ODP,2418,1112221,B,I was thinking that at least I'd get 3 ECUs.,A,To earn a fair outcome for both parties.
221,ODP,2432,1112212,A,I would expect the other person to choose A as this pays the most.,A,It's more cooperative.
222,ODP,2435,2122221,A,"Mutually beneficial, believe other person will choose the outcome best for both.",A,This choice maximizes the expected payout while also limiting the risk of a low payout.
223,ODP,2436,1112211,A,It's the best choice.,A,"Choosing option A aligns with the principles of fairness and altruism, as it gives both players an equal outcome of 5 ECU, rather than disproportionately benefiting one player over the other."
224,ODP,2440,2111221,A,Hope that they maximise group profit by choosing A as well.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
225,ODP,2476,2122121,B,Seems to maximise my outcome.,A,"Choosing option A guarantees a payout of at least 1 ECU, whereas choosing option B only guarantees a payout of 3 ECU. It's the safer option, maximizing the minimum amount of ECU earned."
226,ODP,2502,1222221,B,Just to play differently.,A,I'm going for option A because it seems like the safer choice.
227,ODP,2512,2112221,B,Removed the chance of getting only 1 ECU.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
228,ODP,2513,2122222,A,If both parties pick A it gives the highest equal amount to both.,A,"Choosing option A results in a higher average payout compared to choosing option B, regardless of the other person's choice."
229,ODP,2547,2111211,B,"We get more if we choose the same, it's Game Theory.",A,"I choose option A as it provides a more equal distribution of ECUs, with both parties receiving 5 ECUs if both choose A, compared to option B which gives one person 8 ECUs and the other only 3 ECUs if both choose B."
230,ODP,2549,1222221,A,Better chance of getting more ECU.,A,I'm going for option A because it seems like the safer choice.
231,ODP,2558,2112221,A,Fairness in this game of prisoner's dilemma.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
232,ODP,2565,2112221,A,Choosing A results in an even split of 5 ECU.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
233,ODP,2571,2122221,B,The worst scenario for me is I will get 3 ECU.,A,This choice maximizes the expected payout while also limiting the risk of a low payout.
234,ODP,2580,2111212,B,Low risk for a higher payoff.,A,I believe in reciprocity and mutual benefit.
235,ODP,2598,2122121,B,I think the other person will try to get as much as they can . So I think this option will be the fairest.,A,"Choosing option A guarantees a payout of at least 1 ECU, whereas choosing option B only guarantees a payout of 3 ECU. It's the safer option, maximizing the minimum amount of ECU earned."
236,ODP,2602,2111221,A,I wish to maximise the result for the contestants and me choosing A does that.,A,"Choosing option A helps to maintain fairness in the outcome, ensuring that both parties receive equal payouts if both make the same choice."
237,ODP,2618,1122121,A,Best outcome for both.,A,Maximize my earnings.
238,ODP,2622,2212221,A,It's right and fair we both gain.,A,"Choosing option A is a cooperative choice that leads to mutual benefit, while choosing option B is more selfish and leads to a winner-takes-all outcome."
239,ODP,2627,2112222,B,I’m hoping the other chooses A.,A,"Choosing option A results in a more balanced and equal payout, regardless of the other person's choice."
240,ODP,2636,2112221,A,"It is the fairest option, and if the other person chooses B then fair play to them.",A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
241,ODP,2652,1111221,B,I have a feeling that the other person would choose B so I also chose it.,A,"Choosing option A supports fairness and altruism, which are values that align with the traits described."
242,ODP,2664,2212211,A,Fair result allowing for both parties to gain 5 ECU.,A,"Choosing A results in a more fair outcome in case the other person also chooses A. If the other person chooses B, I still receive a small amount of money which is better than receiving nothing."
243,ODP,2685,2221221,B,They are likely to pick B as well.,A,"Choosing A is the more consistent and predictable option, leading to a higher expected payout overall."
244,ODP,2703,2112221,A,We make more money if we both choose A so is reasonable to go with A.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
245,ODP,2705,2112221,A,Fair scale of balance.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
246,ODP,2723,2122221,A,"Both choosing A returns 10 EUC total split evenly, seems fair.",A,This choice maximizes the expected payout while also limiting the risk of a low payout.
247,ODP,2749,1111111,B,Greatest personal level of income possible.,A,I prefer the option with the possibility of a better outcome for both parties.
248,ODP,2752,2211222,B,Easier to take a loss if I haven’t chosen myself and going for risky option.,A,"Choosing option A results in a fairer outcome for both parties, regardless of the other person's choice."
249,ODP,2753,2112221,B,"The risky option is A - if it were to fail - as you gain the lowest one. For B, there are two outcomes: 8 ECU or 3 ECU.",A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
250,ODP,2755,2112221,A,I made the choice in order to be on the  safe side.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
251,ODP,2782,2221221,B,I want to maximize the total amount of money that we both receive.,A,"Choosing A is the more consistent and predictable option, leading to a higher expected payout overall."
252,ODP,2787,2111211,A,Both choosing the same letter gets the overall better result. A is the better letter of the two to choose.,A,"I choose option A as it provides a more equal distribution of ECUs, with both parties receiving 5 ECUs if both choose A, compared to option B which gives one person 8 ECUs and the other only 3 ECUs if both choose B."
253,ODP,2799,2211221,B,Quite a high reward should the other person choose A.,A,"I choose option A as it leads to a more equal distribution of rewards, regardless of the other player's choice. This minimizes the potential for conflict and promotes fairness."
254,ODP,2801,2112221,A,Long term will earn the most ECU.,A,"Choosing A results in a fairer outcome, with both parties receiving 5 ECU if both choose A and a more equal distribution of rewards (1 and 8 ECU) if only one chooses A."
255,ODP,2804,2122121,B,More in it for me - maybe.,A,"Choosing option A guarantees a payout of at least 1 ECU, whereas choosing option B only guarantees a payout of 3 ECU. It's the safer option, maximizing the minimum amount of ECU earned."
256,ODP,2813,1122221,B,Make the decision based on your opponents basic humane nature - greed.,A,"Option A is more likely to result in mutual benefit, increasing the chances of both people earning 5 ECU."
257,ODP,2833,1112221,B,We both gain with this option.,A,To earn a fair outcome for both parties.
258,ODP,2841,1112221,A,I would hope that the other person would also choose A.,A,To earn a fair outcome for both parties.
259,ODP,2846,1121121,B,I would like to try to win extra.,A,"I choose option A because it's a safer option, with the possibility of earning 5 ECU if the other person also chooses A."
260,ODP,2867,2111211,A,It just feels intuitively to be the most human choice.,A,"I choose option A as it provides a more equal distribution of ECUs, with both parties receiving 5 ECUs if both choose A, compared to option B which gives one person 8 ECUs and the other only 3 ECUs if both choose B."
261,ODP,2875,1211221,A,Hope they believe 5 is best for both of us.,A,"Going with option A maximizes the chance for both people to earn more ECU together, creating a situation where both people can benefit."
262,ODP,2895,1211112,A,I will go for the win-win option that maximises the money for both of us.,A,"I'd rather have a chance to earn more by choosing A, even if it means potentially losing out if the other person also chooses A."
263,ODP,2955,2111222,B,More chance of more.,A,I choose option A as it results in a fairer outcome for both parties in case the other person also chooses A.
264,ODP,2967,2212211,A,It is fair to both parties if we both chose A and receive 5 ECU each.,A,"Choosing A results in a more fair outcome in case the other person also chooses A. If the other person chooses B, I still receive a small amount of money which is better than receiving nothing."
265,ODP,2969,2211221,B,If we both know that one gets more if we choose differing options then we are more likely to choose B together to both get a better outcome of 3 ECU.,A,"I choose option A as it leads to a more equal distribution of rewards, regardless of the other player's choice. This minimizes the potential for conflict and promotes fairness."
266,ODP,2973,2211221,B,Chance of us both earning money.,A,"I choose option A as it leads to a more equal distribution of rewards, regardless of the other player's choice. This minimizes the potential for conflict and promotes fairness."
267,ODP,2978,2121222,B,Statistically the best option.,A,I choose A because it's the safer option with a better average payout.
268,ODP,2984,2211212,B,Picking B guarantees a win of at least 3 and potentially up to 8. Whereas A only guarantees a win of at least 1 and up to 5.,A,"The choice is based on fairness and altruism, as choosing A results in a more equal distribution of earnings compared to choosing B."
