StatementID,TreatmentCode,SubjectID,personality_string,TGSender,TGSender_JUS,AI_TGSender,AI_TGSender_JUS,StatementID2,SubjectID2,personality_string2,TGReceiver,TGReceiver_JUS,AI_TGReceiver,AI_TGReceiver_JUS
119,ODP,2107,1111212,Yes,"In tripling the amount, the total possibilities are higher.",No,Just don't feel like it.,119,1529,2122212,0,Not to be sent in this scenario.,2,"Returning 2 ECU back to the sender maintains a balance between what was given to me and what I return, preserving stability in the interaction."
120,ODP,2108,1221211,No,I don't think they will send any back.,No,I don't trust them to return the favor.,120,1544,1111221,2,They get their full amount back. I think this is fair.,2,Returning half seems fair and balanced.
121,ODP,2110,2111122,Yes,Because I believe that when the other person has tripled ECU they should give some back to me probably half.,No,I choose to keep my endowment.,121,1560,1111222,5,It is a generous amount.,2,Returning half of the amount received seems fair.
122,ODP,2117,2122121,Yes,I run on the assumption the other person will return the favour.,No,"Keep the money for myself, no reason to give it away.",122,1591,1221222,3,We both get the same.,4,Returning 4 ECU keeps the balance between giving back some to the sender while still having some extra for myself.
123,ODP,2123,2112222,Yes,"I think this is a kind thing to do and I would hope that the other person would want to repay back the amount I transferred. It’s a small amount, so I would be willing to lose it if not.",Yes,I believe in being fair and cooperative.,123,1616,2111122,0,"I want to keep the money, and I wouldn't feel as bad as it's anonymous.",4,Seems like a fair compromise.
124,ODP,2124,2122121,No,The other person has no incentive to 'reciprocate'.,No,"Keep the money for myself, no reason to give it away.",124,1621,1221221,3,The most fair outcome.,4,It's just a good balance of keeping some for myself while also being fair and showing gratitude for the sender's generosity.
125,ODP,2127,2211221,Yes,It is worth the risk that they will be fair.,Yes,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",125,1631,2112222,4,"That will make us both have 7 ECU, so we both gain money.",3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
126,ODP,2130,1122221,Yes,I would send 2 ECU and hope that the receiver would send back a little because I went of out my way to help them.,Yes,"I trust that the receiver will return some of the ECUs, making my final payment higher.",126,1639,2112221,4,This gives an equitable distribution of the total funds (14 ECU) between both parties.,3,Returning half of the received amount seems like a fair and balanced action.
127,ODP,2143,1111212,Yes,It’s nice and fair for the receiver to have the 2 tripled.,No,Just don't feel like it.,127,1659,1122121,3,I would like to make this decision for myself to ensure both myself and the player will receive some payout.,0,"The 6 ECU are a result of the sender's transfer and being tripled, so there is no obligation to return any of it. Keeping it all increases my final payment."
128,ODP,2150,2211212,Yes,Makes it fair.,Yes,"I believe in being generous and helping others, even if it means potentially receiving less in return.",128,1675,2121221,3,They gave me that amount so I'm returning it with extra ECU.,2,"Returning 2 ECU ensures that both parties receive the same amount, 5 ECU, as if no transfer had taken place, avoiding any potential conflict or misunderstanding."
129,ODP,2160,1111212,No,There is no incentive for them to send any back and no punishment if they don't.,No,Just don't feel like it.,129,1679,2212222,3,Seems the fairest amount to send back - we both win.,2,"I believe in reciprocating kindness and fairness. If the sender chooses to transfer 2 ECU, I believe it is only right to return some of that amount as a gesture of gratitude and to maintain fairness in the exchange."
130,ODP,2162,2111221,Yes,Worth losing 2 to possibly get more.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",130,1684,2212121,2,This is a fair amount.,3,Returning half of the received amount seems fair and balances both parties' interests.
131,ODP,2202,2211121,Yes,I like to be trustful that they will transfer something back.,Yes,"It seems like a fair move to make in this situation, as the amount transferred will be tripled and there is potential for a positive outcome for both parties.",131,1709,2211112,0,I would like to keep the profit and not risking losing the money.,3,Returning 3 ECU strikes a balance between keeping a significant portion of the funds for myself while also showing some generosity towards the sender.
132,ODP,2211,2222212,Yes,2 = triple the money.,Yes,Because it's a win-win situation where I can potentially increase my own payoff and potentially improve the receiver's payoff as well.,132,1754,2212212,3,A fair split down the middle.,2,"Returning 2 ECU to the sender seems like a fair action, as it balances out the ECU received from the sender's initial transfer of 2 ECU."
133,ODP,2219,2122121,Yes,The amount I send is tripled.,No,"Keep the money for myself, no reason to give it away.",133,1758,1122221,3,Everybody is up in money terms if I have read this correctly.,3,I want to maintain a balance in the exchange and not seem too greedy or ungrateful.
134,ODP,2221,2112221,No,There is no incentive for the other to return anything.,Yes,Because it aligns with the principles of fairness and altruism.,134,1803,1111221,3,Fair amount to return.,2,Returning half seems fair and balanced.
135,ODP,2222,2111221,Yes,I would like to think the other would at least return 2 ECU so that either way I am not at a loss.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",135,1811,2111222,3,It feels fair and still benefits me.,2,It seems like a fair and balanced decision that benefits both parties equally.
136,ODP,2262,1211221,Yes,Best way to make more.,Yes,I feel like it's a good thing to do.,136,1846,2221111,3,I want to be fair.,0,I keep all the money for myself.
137,ODP,2272,2111211,Yes,"To show that I am trustworthy,.",Yes,"I believe in fairness and altruism, and I'd like to give the receiver a chance to potentially earn more ECU.",137,1849,2222221,2,That's how much they sent me.,2,"I would return the amount transferred to me, as it aligns with the principle of reciprocity."
138,ODP,2273,2112221,Yes,Generous thing to do.,Yes,Because it aligns with the principles of fairness and altruism.,138,1866,1122121,0,"I just want to maximise my reward, sorry.",0,"The 6 ECU are a result of the sender's transfer and being tripled, so there is no obligation to return any of it. Keeping it all increases my final payment."
139,ODP,2294,2111221,Yes,I think this is a fair amount.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",139,1874,1211211,0,I want to maximise the amount I get.,0,"It's a one-time chance to keep the full amount of money that was tripled, so why not take advantage of it?"
140,ODP,2299,2112222,No,Don't want to lose payment.,Yes,I believe in being fair and cooperative.,140,1881,2111221,0,I would rather be in control of my destiny and would rather not lose money.,3,Returning half of the received ECU is a fair and balanced decision.
141,ODP,2316,2112222,Yes,The receiver will receive an extra amount.,Yes,I believe in being fair and cooperative.,141,1888,2212221,0,Want to max bonus.,3,"I believe in returning half of what I receive, as a gesture of goodwill and fairness in the exchange."
142,ODP,2350,1112221,Yes,I want to make this decision as it seems to have a moral dimension.,No,I prefer to keep what I have rather than take a risk with it.,142,1897,2221222,0,I want to keep the ECU to myself.,2,"Returning 2 ECU balances out the initial transfer of 2 ECU, allowing both parties to receive an equal amount of ECU in the end."
143,ODP,2353,2112221,Yes,I believe in generosity.,Yes,Because it aligns with the principles of fairness and altruism.,143,1905,2211221,3,We will both be left with the same amount which is fair to me.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
144,ODP,2355,2221221,Yes,Because it gives a chance that it will be magnified and more will be returned back to me.,Yes,The transfer of 2 ECU could potentially lead to a positive outcome for both parties involved.,144,1933,2112221,3,In the hope that we both end up with the same amount.,3,Returning half of the received amount seems like a fair and balanced action.
145,ODP,2364,2111211,Yes,I hope that they will also be generous and return some.,Yes,"I believe in fairness and altruism, and I'd like to give the receiver a chance to potentially earn more ECU.",145,1964,2111221,3,"If the sender transfers only 1, I gain 1 ECU. If I send more than 2, there’s a chance that I lose some ECU.",3,Returning half of the received ECU is a fair and balanced decision.
146,ODP,2366,1112221,Yes,Because I am a nice person.,No,I prefer to keep what I have rather than take a risk with it.,146,1972,1121221,3,Because this is fair.,0,I keep all 6 ECU.
147,ODP,2377,2112121,Yes,My transfer is tripled to 6.,No,I'll keep my money. Don't want to take a risk.,147,1973,2211221,2,I would send 2 back to ensure they did not lose any money should they send it.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
148,ODP,2388,2111221,Yes,I prefer to be actively engaged in decisions. I am happy to help the other person.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",148,1983,1211221,3,We'll both have some benefit.,3,Returning half shows fairness to both parties and creates a balance.
149,ODP,2400,1112221,Yes,A little but not all.,No,I prefer to keep what I have rather than take a risk with it.,149,1992,1111221,4,We would both profit from this decision.,2,Returning half seems fair and balanced.
150,ODP,2401,2111221,Yes,I would like to believe it’s best to share and this could also help to improve how much I receive back.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",150,2064,1212222,3,I like to divide it in the middle to be fair and benefit both of us.,3,It seems like
151,ODP,2402,1111221,Yes,I need to see how it plays out on my own.,No,I don't want to take the risk.,151,2089,1212221,4,Let's both receive the same amount.,2,Returning half of the received amount.
152,ODP,2435,2122221,Yes,Person would have obligation to send 2 back.,Yes,"The decision to transfer 2 ECU to the receiver is based on the potential for a mutually beneficial outcome, where both parties can increase their final payment.",152,2092,2111221,1,I'll give them a bit but that's it!,3,Returning half of the received ECU is a fair and balanced decision.
153,ODP,2476,2122121,No,I want to keep the ECU.,No,"Keep the money for myself, no reason to give it away.",153,2107,1111212,4,Returning 4 will mean an equitable 7 for each of us.,2,"It's a good balance, showing gratitude for the transfer while also keeping some for oneself."
154,ODP,2487,2211112,Yes,It's a chance of receiving more ECU.,Yes,"I believe in sharing and spreading wealth, and the opportunity to triple the amount I transfer seems like a good opportunity to do so.",154,2108,1221211,2,They can have their 2 back as I profit.,0,I keep all 6 ECU.
155,ODP,2512,2112221,Yes,I believe most people have some sense of fairness and there will be a return.,Yes,Because it aligns with the principles of fairness and altruism.,155,2110,2111122,3,It's fair and it's half so the other person should have half.,4,Seems like a fair compromise.
156,ODP,2546,2212212,Yes,I still have money left and as it will be tripled it is worth the risk to see if you get any back.,Yes,It seems like a fair and thoughtful thing to do.,156,2123,2112222,3,"I think I would want to be kind and give them back the money they sent me, plus a bit of the profit from it being tripled. We would overall split this 6 ECU evenly between us and I think that is fair.",3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
157,ODP,2547,2111211,No,We both get three points.,Yes,"I believe in fairness and altruism, and I'd like to give the receiver a chance to potentially earn more ECU.",157,2124,2122121,0,I wish to keep the ECU and not leave myself open to exploitation in the final rounds.,0,I keep all of the 6 ECU to maximize my own earnings.
158,ODP,2571,2122221,Yes,"The worst case here is that I get nothing back from the receiver but keep 3 ECU, but there's a fair chance they will return something.",Yes,"The decision to transfer 2 ECU to the receiver is based on the potential for a mutually beneficial outcome, where both parties can increase their final payment.",158,2127,2211221,4,Think that is a fair balance.,2,It seems like a fair and balanced move to return half of the amount received back to the sender.
159,ODP,2598,2122121,No,They won’t return it so I will just keep it all.,No,"Keep the money for myself, no reason to give it away.",159,2130,1122221,4,I would give them some in return so that we have the same ECU.,3,I want to maintain a balance in the exchange and not seem too greedy or ungrateful.
160,ODP,2602,2111221,Yes,"I want to maximise the gain of the contestants, minimise the ""house"".",Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",160,2141,1121222,3,We should both split the profits as we both play a role in how much the other person gets.,3,Returning 3 ECU strikes a balance between keeping some for oneself and being generous towards the sender.
161,ODP,2606,2221222,Yes,I have chosen to transfer the 2 ECU to be tripled to the other player hoping that they will do the same so we both benefit well.,Yes,"I believe the receiver may return some of the ECU, leading to a mutually beneficial outcome.",161,2150,2211212,3,Makes it fair.,2,"Returning 2 ECU is a fair and equitable decision, as it matches the amount that was initially transferred to me."
162,ODP,2611,2112221,No,I feel like I wouldn’t get much back even if I did transfer some.,Yes,Because it aligns with the principles of fairness and altruism.,162,2160,1111212,0,I don't gain anything from sending ECU back and there is nothing to punish me for not doing so.,2,"It's a good balance, showing gratitude for the transfer while also keeping some for oneself."
163,ODP,2622,2212221,Yes,It will be fair but I have to trust the other person to do the right thing.,Yes,"I believe in fairness and helping others, so I choose to transfer 2 ECU.",163,2162,2111221,4,Both will be 2 up.,3,Returning half of the received ECU is a fair and balanced decision.
164,ODP,2636,2112221,Yes,"We have the chance to raise our ECU, and I'm happy with whatever the receiver chooses to do with their endowment.",Yes,Because it aligns with the principles of fairness and altruism.,164,2183,2211212,2,Fair and both win.,2,"Returning 2 ECU is a fair and equitable decision, as it matches the amount that was initially transferred to me."
165,ODP,2643,2112221,Yes,"They may return some or all of it, and still have their own gain.",Yes,Because it aligns with the principles of fairness and altruism.,165,2185,2222121,4,The sender has been kind enough to send over the 2 ECU and it would be nice to return some of it.,0,I would keep all of the 6 ECU for myself as I would want to maximize my own financial gain in this situation.
166,ODP,2703,2112221,Yes,Is better to transfer as there is the possibility that I get something back in return.,Yes,Because it aligns with the principles of fairness and altruism.,166,2189,2111221,4,It's fair and equitable.,3,Returning half of the received ECU is a fair and balanced decision.
167,ODP,2723,2122221,Yes,"I choose to transfer in the hope they will return at least 2 ECU of endowment, hopefully more.",Yes,"The decision to transfer 2 ECU to the receiver is based on the potential for a mutually beneficial outcome, where both parties can increase their final payment.",167,2202,2211121,3,I am transferring half of what I received as it sounds fair to me.,0,I don't feel the need to return anything since I didn't do anything to earn it. The sender made the decision to transfer the funds and I am simply keeping what was given to me.
168,ODP,2749,1111111,Yes,In hope that the receiver would do the same.,No,I prefer to keep what I have.,168,2211,2222212,0,It's my ECU now.,0,I keep all 6 ECU.
169,ODP,2752,2211222,Yes,Hope to get good will back from them.,Yes,I believe in helping others and creating a positive outcome for both parties involved.,169,2221,2112221,0,I'll be better off not returning anything.,3,Returning half of the received amount seems like a fair and balanced action.
170,ODP,2755,2112221,Yes,I believe the other person would make a fair decision.,Yes,Because it aligns with the principles of fairness and altruism.,170,2222,2111221,2,Returning what they already had so they are not at a loss.,3,Returning half of the received ECU is a fair and balanced decision.
171,ODP,2764,1121211,No,There is no advantage to the risk of sending without ensured returns.,No,"I don't want to transfer, let's keep it simple.",171,2243,2112121,1,I'd like to keep the majority.,0,"The sender made a decision to not transfer any money, therefore, I return 0 ECU to the sender."
172,ODP,2782,2221221,Yes,It is the fair thing to do.,Yes,The transfer of 2 ECU could potentially lead to a positive outcome for both parties involved.,172,2253,1122221,2,To be fair to both of us.,3,I want to maintain a balance in the exchange and not seem too greedy or ungrateful.
173,ODP,2787,2111211,Yes,"Sending the money puts an extra 4 ECU in the pool. If the receiver sends any of it back, I am in profit.",Yes,"I believe in fairness and altruism, and I'd like to give the receiver a chance to potentially earn more ECU.",173,2273,2112221,2,Give back what they have to me.,3,Returning half of the received amount seems like a fair and balanced action.
174,ODP,2798,1112221,Yes,Assuming other party will be fair.,No,I prefer to keep what I have rather than take a risk with it.,174,2280,2112221,3,It seems fair.,3,Returning half of the received amount seems like a fair and balanced action.
175,ODP,2804,2122121,No,Don't want to rely on other to share.,No,"Keep the money for myself, no reason to give it away.",175,2299,2112222,0,Don't want to lose any of my amount.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
176,ODP,2806,2112221,Yes,"If you give you receive, that is how I was brought up.",Yes,Because it aligns with the principles of fairness and altruism.,176,2316,2112222,2,Sending the same amount back.,3,To maintain fairness and reciprocate the transfer in a way that benefits both parties equally.
177,ODP,2813,1122221,Yes,Chance to earn extra depending on the other person's generosity.,Yes,"I trust that the receiver will return some of the ECUs, making my final payment higher.",177,2355,2221221,6,Because it gives a chance that it will be magnified and more will be returned back to me. I am hoping the other person will send a reasonable amount back to me as a thank you.,0,"I keep all 6 ECU. The sender made the choice to transfer 2 ECU, so they took the risk and I benefit from the tripled amount. The sender has no right to expect any of it back."
178,ODP,2846,1121121,Yes,I think it's kind and a good investment.,No,Not necessary.,178,2364,2111211,1,I want to be fair and return some.,3,I believe returning half of what I received is a fair and balanced decision.
179,ODP,2851,2111221,Yes,Hope receiver plays ball.,Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",179,2366,1112221,3,It makes our payments equal.,3,Split the difference.
180,ODP,2875,1211221,Yes,"I would get min 3 they would have 6 , prefer to share.",Yes,I feel like it's a good thing to do.,180,2377,2112121,0,I will keep the ECU for myself as it will be tripled.,0,"The sender made a decision to not transfer any money, therefore, I return 0 ECU to the sender."
181,ODP,2887,1211221,No,To keep it for myself.,Yes,I feel like it's a good thing to do.,181,2388,2111221,4,If I have understood the scenario explained to me then sending 4 ECU would result in an even amount held by both of us.,3,Returning half of the received ECU is a fair and balanced decision.
182,ODP,2895,1211112,Yes,"I believe that the receiver will share the money equally, so I'm happy to send the money.",Yes,Because why not.,182,2401,2111221,3,It’s best to give back and share.,3,Returning half of the received ECU is a fair and balanced decision.
183,ODP,2899,2222122,No,The receiver might not send any ECU to me and if receiver decides to send ECU the amount will not be tripled.,Yes,It's a potentially profitable decision.,183,2404,1212212,3,Split in the middle.,3,Returning half of the tripled amount shows goodwill and balance.
184,ODP,2955,2111222,Yes,May get more back.,Yes,Seems like a fair move to make.,184,2436,1112211,0,I believe it's a more cost effective choice.,0,Returning 0 ECU aligns with fairness as the sender's transfer was tripled and therefore it is reasonable for the receiver to keep all of the received amount.
185,ODP,2958,2111221,Yes,"I believe in sharing with others when I can. This is 5 ECU that I didn't have so if I lose 2 ECU, I'm still 3 ECU up.",Yes,"I believe in treating others as I would like to be treated and by giving, I might receive in return.",185,2440,2111221,2,Give them back what they gave me.,3,Returning half of the received ECU is a fair and balanced decision.
186,ODP,2969,2211221,Yes,I would like to share an amount.,Yes,"It's a generous move, and it's possible that the receiver may return some of the ECUs back to me.",186,2476,2122121,0,Why would I want to give away money for no benefit?,0,I keep all of the 6 ECU to maximize my own earnings.
187,ODP,2970,2121221,Yes,Makes most money  - looking at the score for both of us.,No,I prefer to keep my own funds rather than transfer them to someone I don't know.,187,2512,2112221,4,We both end up with an equal amount.,3,Returning half of the received amount seems like a fair and balanced action.
188,ODP,2984,2211212,No,I'm fairly risk adverse so I think I would prefer a guaranteed sum of 5. I think in a lot of situations the receiver would likely equally split the tripled sum so I'd at least end up with a total of 6. But I think there's a risk of receiving nothing too.,Yes,"I believe in being generous and helping others, even if it means potentially receiving less in return.",188,2513,2122222,3,Sharing half of the transfer but not ending with equal amounts.,3,Returning 3 ECU strikes a balance between keeping some of the funds for myself and showing gratitude to the sender for their trust in transferring funds to me.
